trace_id,task_key,state_id,seed,provenance_pass,field_validity_pass,open_convention_pass,remap_pass,grasp_privilege_valid,n_close_candidates,n_tp_qualifying_candidates,teacher_p_step,legacy_first_match_step,teacher_r_step,category,failure_detail
trace_bbq_sauce_s8_w0_10_s20d_clean_seed0_job590000,bbq_sauce,8,0,True,True,True,True,True,4,2,-1,65,65,TEACHER_P_AMBIGUOUS,
trace_bbq_sauce_s9_w0_10_s20d_clean_seed0_job590000,bbq_sauce,9,0,True,True,True,True,True,7,0,-1,-1,59,TEACHER_P_UNAVAILABLE,
trace_butter_s0_w0_10_s20d_clean_seed0_job510100,butter,0,0,True,True,True,True,True,4,2,-1,61,6,TEACHER_P_AMBIGUOUS,
trace_butter_s3_w0_10_s20d_clean_seed0_job510100,butter,3,0,True,True,True,True,True,3,1,68,68,8,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s4_w0_10_s20d_clean_seed0_job510100,butter,4,0,True,True,True,True,True,18,0,-1,-1,11,TEACHER_P_UNAVAILABLE,
trace_butter_s5_w0_10_s20d_clean_seed0_job590100,butter,5,0,True,True,True,True,True,8,2,-1,70,1,TEACHER_P_AMBIGUOUS,
trace_butter_s6_w0_10_s20d_clean_seed0_job590100,butter,6,0,True,True,True,True,True,8,1,53,53,0,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s7_w0_10_s20d_clean_seed0_job590100,butter,7,0,True,True,True,True,True,4,2,-1,52,52,TEACHER_P_AMBIGUOUS,
trace_butter_s8_w0_10_s20d_clean_seed0_job590100,butter,8,0,True,True,True,True,True,4,1,62,62,62,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s9_w0_10_s20d_clean_seed0_job590100,butter,9,0,True,True,True,True,True,8,0,-1,-1,6,TEACHER_P_UNAVAILABLE,
trace_chocolate_pudding_s0_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,0,0,True,True,True,True,True,19,5,-1,136,49,TEACHER_P_AMBIGUOUS,
trace_chocolate_pudding_s3_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,3,0,True,True,True,True,True,4,2,-1,59,59,TEACHER_P_AMBIGUOUS,
trace_chocolate_pudding_s4_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,4,0,True,True,True,True,True,8,1,60,60,60,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s5_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,5,0,True,True,True,True,True,6,1,55,55,55,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s6_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,6,0,True,True,True,True,True,6,3,-1,57,2,TEACHER_P_AMBIGUOUS,
trace_chocolate_pudding_s7_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,7,0,True,True,True,True,True,12,2,-1,87,49,TEACHER_P_AMBIGUOUS,
trace_chocolate_pudding_s8_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,8,0,True,True,True,True,True,31,0,-1,-1,2,TEACHER_P_UNAVAILABLE,
trace_chocolate_pudding_s9_w0_10_s20d_clean_seed0_job590000,chocolate_pudding,9,0,True,True,True,True,True,16,3,-1,50,50,TEACHER_P_AMBIGUOUS,
trace_chocolate_pudding_s16_w0_10_s20d_clean_seed0_job590000,chocolate_pudding,16,0,True,True,True,True,True,3,1,55,55,55,ELIGIBLE_MULTI_CANDIDATE,
trace_cream_cheese_s0_w0_10_s20d_clean_seed0_job540000,cream_cheese,0,0,True,True,True,True,True,3,1,85,85,62,ELIGIBLE_MULTI_CANDIDATE,
trace_cream_cheese_s3_w0_10_s20d_clean_seed0_job540000,cream_cheese,3,0,True,True,True,True,True,9,3,-1,74,74,TEACHER_P_AMBIGUOUS,
trace_cream_cheese_s4_w0_10_s20d_clean_seed0_job540000,cream_cheese,4,0,True,True,True,True,True,7,3,-1,106,52,TEACHER_P_AMBIGUOUS,
trace_cream_cheese_s5_w0_10_s20d_clean_seed0_job540000,cream_cheese,5,0,True,True,True,True,True,6,5,-1,73,73,TEACHER_P_AMBIGUOUS,
trace_cream_cheese_s6_w0_10_s20d_clean_seed0_job540000,cream_cheese,6,0,True,True,True,True,True,4,1,56,56,56,ELIGIBLE_MULTI_CANDIDATE,
trace_cream_cheese_s7_w0_10_s20d_clean_seed0_job540000,cream_cheese,7,0,True,True,True,True,True,5,4,-1,60,60,TEACHER_P_AMBIGUOUS,
trace_cream_cheese_s8_w0_10_s20d_clean_seed0_job570000,cream_cheese,8,0,True,True,True,True,True,7,1,53,53,8,ELIGIBLE_MULTI_CANDIDATE,
trace_cream_cheese_s9_w0_10_s20d_clean_seed0_job590100,cream_cheese,9,0,True,True,True,True,True,2,1,55,55,55,ELIGIBLE_MULTI_CANDIDATE,
trace_ketchup_s0_w0_10_s20d_clean_seed0_job540100,ketchup,0,0,True,True,True,True,True,3,1,58,58,56,ELIGIBLE_MULTI_CANDIDATE,
trace_ketchup_s1_w0_10_s20d_clean_seed0_job540100,ketchup,1,0,True,True,True,True,True,6,2,-1,91,45,TEACHER_P_AMBIGUOUS,
trace_ketchup_s4_w0_10_s20d_clean_seed0_job540100,ketchup,4,0,True,True,True,True,True,1,0,-1,-1,45,TEACHER_P_UNAVAILABLE,
trace_ketchup_s5_w0_10_s20d_clean_seed0_job540100,ketchup,5,0,True,True,True,True,True,2,2,-1,45,45,TEACHER_P_AMBIGUOUS,
trace_ketchup_s6_w0_10_s20d_clean_seed0_job590200,ketchup,6,0,True,True,True,True,True,6,1,132,132,132,ELIGIBLE_MULTI_CANDIDATE,
trace_ketchup_s7_w0_10_s20d_clean_seed0_job590200,ketchup,7,0,True,True,True,True,True,5,2,-1,61,4,TEACHER_P_AMBIGUOUS,
trace_ketchup_s8_w0_10_s20d_clean_seed0_job590200,ketchup,8,0,True,True,True,True,True,9,2,-1,110,5,TEACHER_P_AMBIGUOUS,
trace_ketchup_s9_w0_10_s20d_clean_seed0_job590200,ketchup,9,0,True,True,True,True,True,6,3,-1,66,66,TEACHER_P_AMBIGUOUS,
trace_milk_s0_w0_10_s20d_clean_seed0_job530000,milk,0,0,True,True,True,True,True,1,1,52,52,52,ELIGIBLE_SINGLE_CANDIDATE,
trace_milk_s3_w0_10_s20d_clean_seed0_job530000,milk,3,0,True,True,True,True,True,3,1,54,54,54,ELIGIBLE_MULTI_CANDIDATE,
trace_milk_s4_w0_10_s20d_clean_seed0_job530000,milk,4,0,True,True,True,True,True,2,2,-1,46,46,TEACHER_P_AMBIGUOUS,
trace_milk_s5_w0_10_s20d_clean_seed0_job530000,milk,5,0,True,True,True,True,True,1,1,71,71,71,ELIGIBLE_SINGLE_CANDIDATE,
trace_milk_s6_w0_10_s20d_clean_seed0_job530000,milk,6,0,True,True,True,True,True,1,1,62,62,62,ELIGIBLE_SINGLE_CANDIDATE,
trace_milk_s7_w0_10_s20d_clean_seed0_job530000,milk,7,0,True,True,True,True,True,1,1,50,50,50,ELIGIBLE_SINGLE_CANDIDATE,
trace_milk_s8_w0_10_s20d_clean_seed0_job530000,milk,8,0,True,True,True,True,True,9,1,54,54,54,ELIGIBLE_MULTI_CANDIDATE,
trace_milk_s9_w0_10_s20d_clean_seed0_job530000,milk,9,0,True,True,True,True,True,30,2,-1,47,47,TEACHER_P_AMBIGUOUS,
trace_milk_s47_w0_10_s20d_clean_seed0_job530000,milk,47,0,True,True,True,True,True,0,0,-1,-1,-1,NO_CLOSE_CANDIDATE,
trace_orange_juice_s0_w0_10_s20d_clean_seed0_job530100,orange_juice,0,0,True,True,True,True,True,5,1,108,108,81,ELIGIBLE_MULTI_CANDIDATE,
trace_orange_juice_s3_w0_10_s20d_clean_seed0_job530100,orange_juice,3,0,True,True,True,True,True,3,3,-1,48,48,TEACHER_P_AMBIGUOUS,
trace_orange_juice_s4_w0_10_s20d_clean_seed0_job530100,orange_juice,4,0,True,True,True,True,True,1,1,51,51,51,ELIGIBLE_SINGLE_CANDIDATE,
trace_orange_juice_s5_w0_10_s20d_clean_seed0_job530100,orange_juice,5,0,True,True,True,True,True,0,0,-1,-1,-1,NO_CLOSE_CANDIDATE,
trace_orange_juice_s6_w0_10_s20d_clean_seed0_job530100,orange_juice,6,0,True,True,True,True,True,12,3,-1,66,64,TEACHER_P_AMBIGUOUS,
trace_orange_juice_s7_w0_10_s20d_clean_seed0_job530100,orange_juice,7,0,True,True,True,True,True,21,0,-1,-1,10,TEACHER_P_UNAVAILABLE,
trace_orange_juice_s8_w0_10_s20d_clean_seed0_job530100,orange_juice,8,0,True,True,True,True,True,1,1,41,41,41,ELIGIBLE_SINGLE_CANDIDATE,
trace_orange_juice_s9_w0_10_s20d_clean_seed0_job530100,orange_juice,9,0,True,True,True,True,True,0,0,-1,-1,-1,NO_CLOSE_CANDIDATE,
trace_orange_juice_s33_w0_10_s20d_clean_seed0_job530100,orange_juice,33,0,True,True,True,True,True,2,2,-1,79,79,TEACHER_P_AMBIGUOUS,
trace_salad_dressing_s0_w0_10_s20d_clean_seed0_job520000,salad_dressing,0,0,True,True,True,True,True,2,2,-1,48,48,TEACHER_P_AMBIGUOUS,
trace_salad_dressing_s3_w0_10_s20d_clean_seed0_job520000,salad_dressing,3,0,True,True,True,True,True,1,1,58,58,58,ELIGIBLE_SINGLE_CANDIDATE,
trace_salad_dressing_s4_w0_10_s20d_clean_seed0_job520000,salad_dressing,4,0,True,True,True,True,True,1,1,53,53,53,ELIGIBLE_SINGLE_CANDIDATE,
trace_salad_dressing_s5_w0_10_s20d_clean_seed0_job520000,salad_dressing,5,0,True,True,True,True,True,1,1,70,70,70,ELIGIBLE_SINGLE_CANDIDATE,
trace_salad_dressing_s6_w0_10_s20d_clean_seed0_job520000,salad_dressing,6,0,True,True,True,True,True,3,2,-1,75,75,TEACHER_P_AMBIGUOUS,
trace_salad_dressing_s7_w0_10_s20d_clean_seed0_job520000,salad_dressing,7,0,True,True,True,True,True,6,3,-1,65,57,TEACHER_P_AMBIGUOUS,
trace_salad_dressing_s8_w0_10_s20d_clean_seed0_job520000,salad_dressing,8,0,True,True,True,True,True,2,2,-1,46,46,TEACHER_P_AMBIGUOUS,
trace_salad_dressing_s9_w0_10_s20d_clean_seed0_job520000,salad_dressing,9,0,True,True,True,True,True,32,0,-1,-1,52,TEACHER_P_UNAVAILABLE,
trace_salad_dressing_s20_w0_10_s20d_clean_seed0_job520000,salad_dressing,20,0,True,True,True,True,True,2,1,60,60,50,ELIGIBLE_MULTI_CANDIDATE,
trace_salad_dressing_s22_w0_10_s20d_clean_seed0_job520000,salad_dressing,22,0,True,True,True,True,True,2,1,47,47,47,ELIGIBLE_MULTI_CANDIDATE,
trace_salad_dressing_s35_w0_10_s20d_clean_seed0_job520000,salad_dressing,35,0,True,True,True,True,True,1,1,81,81,81,ELIGIBLE_SINGLE_CANDIDATE,
trace_salad_dressing_s36_w0_10_s20d_clean_seed0_job520000,salad_dressing,36,0,True,True,True,True,True,2,1,55,55,55,ELIGIBLE_MULTI_CANDIDATE,
trace_salad_dressing_s47_w0_10_s20d_clean_seed0_job520000,salad_dressing,47,0,True,True,True,True,True,1,1,53,53,53,ELIGIBLE_SINGLE_CANDIDATE,
trace_tomato_sauce_s0_w0_10_s20d_clean_seed0_job510000,tomato_sauce,0,0,True,True,True,True,True,4,2,-1,79,79,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s3_w0_10_s20d_clean_seed0_job510000,tomato_sauce,3,0,True,True,True,True,True,4,2,-1,63,63,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s4_w0_10_s20d_clean_seed0_job510000,tomato_sauce,4,0,True,True,True,True,True,6,5,-1,81,81,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s5_w0_10_s20d_clean_seed0_job510000,tomato_sauce,5,0,True,True,True,True,True,1,1,60,60,60,ELIGIBLE_SINGLE_CANDIDATE,
trace_tomato_sauce_s6_w0_10_s20d_clean_seed0_job510000,tomato_sauce,6,0,True,True,True,True,True,4,2,-1,65,65,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s7_w0_10_s20d_clean_seed0_job510000,tomato_sauce,7,0,True,True,True,True,True,8,2,-1,88,0,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s8_w0_10_s20d_clean_seed0_job510000,tomato_sauce,8,0,True,True,True,True,True,4,2,-1,47,47,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s9_w0_10_s20d_clean_seed0_job560000,tomato_sauce,9,0,True,True,True,True,True,2,1,63,63,63,ELIGIBLE_MULTI_CANDIDATE,
trace_tomato_sauce_s21_w0_10_s20d_clean_seed0_job560000,tomato_sauce,21,0,True,True,True,True,True,1,1,57,57,57,ELIGIBLE_SINGLE_CANDIDATE,
trace_tomato_sauce_s27_w0_10_s20d_clean_seed0_job590200,tomato_sauce,27,0,True,True,True,True,True,8,3,-1,111,26,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s30_w0_10_s20d_clean_seed0_job590200,tomato_sauce,30,0,True,True,True,True,True,4,1,59,59,59,ELIGIBLE_MULTI_CANDIDATE,
trace_tomato_sauce_s37_w0_10_s20d_clean_seed0_job590200,tomato_sauce,37,0,True,True,True,True,True,15,3,-1,185,26,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s43_w0_10_s20d_clean_seed0_job590200,tomato_sauce,43,0,True,True,True,True,True,14,3,-1,71,19,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s44_w0_10_s20d_clean_seed0_job590200,tomato_sauce,44,0,True,True,True,True,True,3,2,-1,50,50,TEACHER_P_AMBIGUOUS,
trace_tomato_sauce_s48_w0_10_s20d_clean_seed0_job590200,tomato_sauce,48,0,True,True,True,True,True,29,1,68,68,68,ELIGIBLE_MULTI_CANDIDATE,
