episode_id,task,state,source,teacher_valid,corridor_start,corridor_end,V1_armed,V1_emitted,V1_emit_step,V1_emit_before,V1_emit_inside,V1_emit_after,V2_armed,V2_emitted,V2_emit_step,V2_emit_before,V2_emit_inside,V2_emit_after
ep_0353,5,26,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0354,6,24,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0355,6,25,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0356,6,26,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0357,6,27,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0358,7,23,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0359,7,25,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0360,7,26,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0361,7,27,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0362,8,23,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0363,8,24,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0364,8,26,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0365,8,27,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0366,9,23,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0367,9,24,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0368,9,25,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0369,9,27,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
