# Agent A = Ramanujan; Agent B = Leibniz; Agent C = McClintock.
# This file contains only blinded IDs, primary labels, and reviewer confidence.
# It contains no source mapping, model, suite, condition, dose, telemetry, or automatic outcome.
# Format: agent|blinded_video_id|primary_label|confidence
B|A4-2b89a3d61467858cafb486d0|NOT_IDENTIFIABLE|HIGH
B|A4-2cdd949df512f7e3220d5344|OBJECT_DISPLACEMENT|MEDIUM
B|A4-2d887a6cce83796be23f25cf|NOT_IDENTIFIABLE|HIGH
B|A4-33b5ff9adc75a6c776095fee|NOT_IDENTIFIABLE|HIGH
B|A4-348cdc95ad6ca1037451ad89|NOT_IDENTIFIABLE|HIGH
B|A4-371225f6ab6a1aa8dd85d8f4|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-3cf1a05b492945dd90889d84|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-3fa2e975eb60ba21f4d08709|STABLE_GRASP|MEDIUM
B|A4-41168b63eb6f7910d9beb0bd|NOT_IDENTIFIABLE|HIGH
B|A4-44c493074a8b9dc2cf9c619c|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-5313e315ef035cfba148b57a|STABLE_GRASP|MEDIUM
B|A4-56c424ee8eec005699ed2d1b|NOT_IDENTIFIABLE|HIGH
B|A4-586d1ea3a5fb1577f213c5d6|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-59b7ba4dfadbe7df12433653|STABLE_GRASP|MEDIUM
B|A4-5a0c4c42e8a3fd1a6eb0bc7f|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-5a5674737a679f3ce8b731a1|NOT_IDENTIFIABLE|HIGH
B|A4-62cd5b9d129ffd4686084b35|NOT_IDENTIFIABLE|HIGH
B|A4-62f3ea88e22bcae670007a66|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-6454034d73044e41404c81b9|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-68618bc75f72acb25c744766|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-6c4feabbad9b1feafcb69de5|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-6db7c4badfeca919ff3ad2b7|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-6de3ec9d7153998600e26306|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-70174c76ca96a7d1b79e5963|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-701870d157ce86caaa2abe9a|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-711dbaac7b7b5bb79a5c43aa|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-7ae121730b220e92334ade89|NOT_IDENTIFIABLE|HIGH
B|A4-7f51b223e9f3d09f45e9aa85|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-80847e94e83bd256c72179be|STABLE_GRASP|MEDIUM
B|A4-85239a8e104f0f21e05d73c3|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-85b1fe760d67a95f6d30799f|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-8cc952e3fb17d4ade43d9748|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-8f41106dba2ce87b51d041fb|STABLE_GRASP|MEDIUM
B|A4-8f80ce2478d48b71d29a8162|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-8fca39b31a9c428b79c9211b|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-9492656b51acceb698860505|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-99fa1060b13aeacef950d8d3|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-9a3c9be9fdb6ea9ca131f66e|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-9a8a33e4b39c82b5f772dc79|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-9de1fed613fc2b8d116c73fc|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-a04b8276b47138892e59ac44|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-a0561b2c2dba2d29602f4638|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-a3fa2ab516212083474cc615|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-aa51c7e43b7d038a53b09462|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-aeed0005f821d7179e34e18c|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-afdb2500e34ee76a007cf425|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-b1c29c3462ef3e0acff2adf6|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-b40ec1fdecf83fa46af4afa1|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-b66f5735b18fb02e6542a612|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-bac987774bd0443578701921|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-baf7eeb2a878a3f5569e03a1|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-bc354e30501d5221e24706d7|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-bce7d8567d1376490ea0fc6a|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-be80308ff90a17e8721fc34d|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-bebf91a869dff3cf9132b673|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-c100d2e0b4c227078a34f5fd|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-c61eb0b35777644e391e6d98|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-c75754d01544eb51f65a6335|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-ca6a461b62d90070cad00af6|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-ccf7fdf1611157810c67253e|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-cd73dc7704002ef35c5055d8|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-ce7195076098c5a0f6a5e84c|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-cf708be7e061db270f3d166a|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-d546c7c7bec5fb287318cc0a|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-d6da1788f93235a5261fbbef|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-d6f758695ac59af66b85312f|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-d72ccda9038e1928fa756081|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-da56672a07556c09349baf0e|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-e03bfa4807f3069223e6d573|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-e085245903a2a1739c4b8f2a|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-e0970623b788e7143f97bc45|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-e3f7cbc6471ad3b6f7973e0a|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-ec4baa7f44a6395e16255402|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-ef2d7f1e79754ccc7719220d|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-ef9c123d145fa514107f58af|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-f1b85898a9900eef29bae1c7|AMBIGUOUS_OR_OCCLUDED|LOW
B|A4-f903474e520c9af18c7a20f2|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-04164bee1bbcffd4086eec1d|NOT_IDENTIFIABLE|MEDIUM
C|A4-0474bac4273e44e06eaac848|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-070354e1b9b523ce64da755a|NOT_IDENTIFIABLE|LOW
C|A4-07af196c733562c32296b855|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-0b9f0a2b262d2d7d8db14641|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-0c03bbc253387e2f8d6c74f4|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-0d561dd0ced669f27353c8df|OBJECT_DISPLACEMENT|MEDIUM
C|A4-10fa433c4c697104b9c22863|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-14c517152bf27f0c942d39df|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-159e7d8fa3abe3253bd35060|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-1782c9f823a5cab9570ef087|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-1a7b3fae66acaa9271909568|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-1c54f8f807d3fd34294f51c4|STABLE_GRASP|MEDIUM
C|A4-23557db2a747a762de7b0387|STABLE_GRASP|MEDIUM
C|A4-2b89a3d61467858cafb486d0|NOT_IDENTIFIABLE|LOW
C|A4-2cdd949df512f7e3220d5344|OBJECT_DISPLACEMENT|MEDIUM
C|A4-2d887a6cce83796be23f25cf|AMBIGUOUS_OR_OCCLUDED|MEDIUM
C|A4-33b5ff9adc75a6c776095fee|AMBIGUOUS_OR_OCCLUDED|MEDIUM
C|A4-348cdc95ad6ca1037451ad89|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-371225f6ab6a1aa8dd85d8f4|OBJECT_DISPLACEMENT|MEDIUM
C|A4-3cf1a05b492945dd90889d84|STABLE_GRASP|MEDIUM
C|A4-3fa2e975eb60ba21f4d08709|STABLE_GRASP|MEDIUM
C|A4-41168b63eb6f7910d9beb0bd|OBJECT_DISPLACEMENT|MEDIUM
C|A4-44c493074a8b9dc2cf9c619c|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-5313e315ef035cfba148b57a|STABLE_GRASP|MEDIUM
C|A4-56c424ee8eec005699ed2d1b|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-586d1ea3a5fb1577f213c5d6|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-59b7ba4dfadbe7df12433653|STABLE_GRASP|MEDIUM
C|A4-5a0c4c42e8a3fd1a6eb0bc7f|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-5a5674737a679f3ce8b731a1|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-62cd5b9d129ffd4686084b35|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-62f3ea88e22bcae670007a66|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-6454034d73044e41404c81b9|STABLE_GRASP|MEDIUM
C|A4-68618bc75f72acb25c744766|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-6c4feabbad9b1feafcb69de5|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-6db7c4badfeca919ff3ad2b7|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-6de3ec9d7153998600e26306|STABLE_GRASP|MEDIUM
C|A4-70174c76ca96a7d1b79e5963|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-701870d157ce86caaa2abe9a|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-711dbaac7b7b5bb79a5c43aa|STABLE_GRASP|MEDIUM
C|A4-7ae121730b220e92334ade89|STABLE_GRASP|MEDIUM
C|A4-7f51b223e9f3d09f45e9aa85|STABLE_GRASP|LOW
C|A4-80847e94e83bd256c72179be|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-85239a8e104f0f21e05d73c3|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-85b1fe760d67a95f6d30799f|STABLE_GRASP|MEDIUM
C|A4-8cc952e3fb17d4ade43d9748|STABLE_GRASP|LOW
C|A4-8f41106dba2ce87b51d041fb|STABLE_GRASP|MEDIUM
C|A4-8f80ce2478d48b71d29a8162|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-8fca39b31a9c428b79c9211b|STABLE_GRASP|MEDIUM
C|A4-9492656b51acceb698860505|STABLE_GRASP|MEDIUM
C|A4-99fa1060b13aeacef950d8d3|STABLE_GRASP|MEDIUM
C|A4-9a3c9be9fdb6ea9ca131f66e|STABLE_GRASP|MEDIUM
C|A4-9a8a33e4b39c82b5f772dc79|STABLE_GRASP|MEDIUM
C|A4-9de1fed613fc2b8d116c73fc|STABLE_GRASP|MEDIUM
C|A4-a04b8276b47138892e59ac44|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-a0561b2c2dba2d29602f4638|STABLE_GRASP|MEDIUM
C|A4-a3fa2ab516212083474cc615|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-aa51c7e43b7d038a53b09462|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-aeed0005f821d7179e34e18c|STABLE_GRASP|MEDIUM
C|A4-afdb2500e34ee76a007cf425|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-b1c29c3462ef3e0acff2adf6|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-b40ec1fdecf83fa46af4afa1|STABLE_GRASP|MEDIUM
C|A4-b66f5735b18fb02e6542a612|STABLE_GRASP|MEDIUM
C|A4-bac987774bd0443578701921|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-baf7eeb2a878a3f5569e03a1|STABLE_GRASP|MEDIUM
C|A4-bc354e30501d5221e24706d7|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-bce7d8567d1376490ea0fc6a|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-be80308ff90a17e8721fc34d|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-bebf91a869dff3cf9132b673|STABLE_GRASP|MEDIUM
C|A4-c100d2e0b4c227078a34f5fd|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-c61eb0b35777644e391e6d98|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-c75754d01544eb51f65a6335|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-ca6a461b62d90070cad00af6|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-ccf7fdf1611157810c67253e|STABLE_GRASP|MEDIUM
C|A4-cd73dc7704002ef35c5055d8|STABLE_GRASP|MEDIUM
C|A4-ce7195076098c5a0f6a5e84c|STABLE_GRASP|MEDIUM
C|A4-cf708be7e061db270f3d166a|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-d546c7c7bec5fb287318cc0a|STABLE_GRASP|MEDIUM
C|A4-d6da1788f93235a5261fbbef|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-d6f758695ac59af66b85312f|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-d72ccda9038e1928fa756081|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-da56672a07556c09349baf0e|AMBIGUOUS_OR_OCCLUDED|LOW
C|A4-e03bfa4807f3069223e6d573|STABLE_GRASP|MEDIUM
C|A4-e085245903a2a1739c4b8f2a|STABLE_GRASP|MEDIUM
C|A4-e0970623b788e7143f97bc45|STABLE_GRASP|MEDIUM
C|A4-e3f7cbc6471ad3b6f7973e0a|STABLE_GRASP|MEDIUM
C|A4-ec4baa7f44a6395e16255402|STABLE_GRASP|LOW
C|A4-ef2d7f1e79754ccc7719220d|STABLE_GRASP|MEDIUM
C|A4-ef9c123d145fa514107f58af|STABLE_GRASP|LOW
C|A4-f1b85898a9900eef29bae1c7|STABLE_GRASP|LOW
C|A4-f903474e520c9af18c7a20f2|STABLE_GRASP|LOW
