trace_id,task_key,state_id,seed,split,logical_group_id,n_close_candidates,n_tp_qualifying,teacher_p_step
trace_bbq_sauce_s38_w0_10_s20d_clean_seed0_job330069,bbq_sauce,38,0,train,bbq_sauce_s38_seed0,8,1,58
trace_bbq_sauce_s39_w0_10_s20d_clean_seed0_job330070,bbq_sauce,39,0,val,bbq_sauce_s39_seed0,2,1,91
trace_bbq_sauce_s43_w0_10_s20d_clean_seed0_job330074,bbq_sauce,43,0,val,bbq_sauce_s43_seed0,2,1,40
trace_bbq_sauce_s45_w0_10_s20d_clean_seed0_job330076,bbq_sauce,45,0,test,bbq_sauce_s45_seed0,9,1,117
trace_bbq_sauce_s46_w0_10_s20d_clean_seed0_job330077,bbq_sauce,46,0,test,bbq_sauce_s46_seed0,2,1,57
trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1,0,train,butter_s1_seed0,9,1,72
trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2,0,train,butter_s2_seed0,6,1,68
trace_butter_s10_w0_10_s20d_clean_seed0_job330081,butter,10,0,train,butter_s10_seed0,2,1,60
trace_butter_s14_w0_10_s20d_clean_seed0_job330085,butter,14,0,train,butter_s14_seed0,2,1,61
trace_butter_s15_w0_10_s20d_clean_seed0_job330086,butter,15,0,train,butter_s15_seed0,2,1,57
trace_butter_s17_w0_10_s20d_clean_seed0_job330088,butter,17,0,train,butter_s17_seed0,4,1,54
trace_butter_s20_w0_10_s20d_clean_seed0_job330091,butter,20,0,train,butter_s20_seed0,6,1,54
trace_butter_s28_w0_10_s20d_clean_seed0_job330099,butter,28,0,train,butter_s28_seed0,2,1,65
trace_butter_s31_w0_10_s20d_clean_seed0_job330102,butter,31,0,train,butter_s31_seed0,2,1,65
trace_butter_s33_w0_10_s20d_clean_seed0_job330104,butter,33,0,train,butter_s33_seed0,5,1,45
trace_butter_s35_w0_10_s20d_clean_seed0_job330106,butter,35,0,train,butter_s35_seed0,5,1,61
trace_butter_s36_w0_10_s20d_clean_seed0_job330107,butter,36,0,train,butter_s36_seed0,10,1,56
trace_butter_s40_w0_10_s20d_clean_seed0_job330111,butter,40,0,val,butter_s40_seed0,6,1,50
trace_butter_s41_w0_10_s20d_clean_seed0_job330112,butter,41,0,val,butter_s41_seed0,2,1,63
trace_butter_s42_w0_10_s20d_clean_seed0_job330113,butter,42,0,test,butter_s42_seed0,12,1,122
trace_butter_s46_w0_10_s20d_clean_seed0_job330117,butter,46,0,test,butter_s46_seed0,4,1,62
trace_butter_s48_w0_10_s20d_clean_seed0_job330119,butter,48,0,test,butter_s48_seed0,5,1,69
trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007,chocolate_pudding,2,0,train,chocolate_pudding_s2_seed0,3,1,58
trace_chocolate_pudding_s23_w0_10_s20d_clean_seed0_job330134,chocolate_pudding,23,0,train,chocolate_pudding_s23_seed0,2,1,47
trace_chocolate_pudding_s25_w0_10_s20d_clean_seed0_job330136,chocolate_pudding,25,0,train,chocolate_pudding_s25_seed0,7,1,55
trace_chocolate_pudding_s33_w0_10_s20d_clean_seed0_job330144,chocolate_pudding,33,0,train,chocolate_pudding_s33_seed0,2,1,57
trace_chocolate_pudding_s44_w0_10_s20d_clean_seed0_job330155,chocolate_pudding,44,0,train,chocolate_pudding_s44_seed0,13,1,113
trace_chocolate_pudding_s46_w0_10_s20d_clean_seed0_job330157,chocolate_pudding,46,0,val,chocolate_pudding_s46_seed0,4,1,45
trace_chocolate_pudding_s49_w0_10_s20d_clean_seed0_job330160,chocolate_pudding,49,0,test,chocolate_pudding_s49_seed0,4,1,66
trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013,cream_cheese,2,0,train,cream_cheese_s2_seed0,4,1,63
trace_cream_cheese_s10_w0_10_s20d_clean_seed0_job330161,cream_cheese,10,0,train,cream_cheese_s10_seed0,4,1,90
trace_cream_cheese_s12_w0_10_s20d_clean_seed0_job330163,cream_cheese,12,0,train,cream_cheese_s12_seed0,4,1,99
trace_cream_cheese_s13_w0_10_s20d_clean_seed0_job330164,cream_cheese,13,0,train,cream_cheese_s13_seed0,4,1,54
trace_cream_cheese_s15_w0_10_s20d_clean_seed0_job330166,cream_cheese,15,0,train,cream_cheese_s15_seed0,3,1,42
trace_cream_cheese_s18_w0_10_s20d_clean_seed0_job330169,cream_cheese,18,0,train,cream_cheese_s18_seed0,5,1,64
trace_cream_cheese_s22_w0_10_s20d_clean_seed0_job330173,cream_cheese,22,0,train,cream_cheese_s22_seed0,2,1,54
trace_cream_cheese_s23_w0_10_s20d_clean_seed0_job330174,cream_cheese,23,0,train,cream_cheese_s23_seed0,21,1,151
trace_cream_cheese_s29_w0_10_s20d_clean_seed0_job330180,cream_cheese,29,0,train,cream_cheese_s29_seed0,20,1,59
trace_cream_cheese_s31_w0_10_s20d_clean_seed0_job330182,cream_cheese,31,0,train,cream_cheese_s31_seed0,2,1,52
trace_cream_cheese_s33_w0_10_s20d_clean_seed0_job330184,cream_cheese,33,0,val,cream_cheese_s33_seed0,4,1,55
trace_cream_cheese_s36_w0_10_s20d_clean_seed0_job330187,cream_cheese,36,0,val,cream_cheese_s36_seed0,6,1,120
trace_cream_cheese_s38_w0_10_s20d_clean_seed0_job330189,cream_cheese,38,0,val,cream_cheese_s38_seed0,5,1,47
trace_cream_cheese_s41_w0_10_s20d_clean_seed0_job330192,cream_cheese,41,0,test,cream_cheese_s41_seed0,3,1,64
trace_cream_cheese_s43_w0_10_s20d_clean_seed0_job330194,cream_cheese,43,0,test,cream_cheese_s43_seed0,14,1,64
trace_ketchup_s2_w0_10_s20d_clean_seed0_job250008,ketchup,2,0,train,ketchup_s2_seed0,2,1,56
trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009,ketchup,3,0,train,ketchup_s3_seed0,3,1,55
trace_ketchup_s10_w0_10_s20d_clean_seed0_job330201,ketchup,10,0,train,ketchup_s10_seed0,6,1,56
trace_ketchup_s12_w0_10_s20d_clean_seed0_job330203,ketchup,12,0,train,ketchup_s12_seed0,14,1,40
trace_ketchup_s13_w0_10_s20d_clean_seed0_job330204,ketchup,13,0,train,ketchup_s13_seed0,4,1,60
trace_ketchup_s22_w0_10_s20d_clean_seed0_job330213,ketchup,22,0,train,ketchup_s22_seed0,2,1,52
trace_ketchup_s23_w0_10_s20d_clean_seed0_job330214,ketchup,23,0,train,ketchup_s23_seed0,3,1,51
trace_ketchup_s25_w0_10_s20d_clean_seed0_job330216,ketchup,25,0,train,ketchup_s25_seed0,13,1,59
trace_ketchup_s26_w0_10_s20d_clean_seed0_job330217,ketchup,26,0,train,ketchup_s26_seed0,4,1,54
trace_ketchup_s30_w0_10_s20d_clean_seed0_job330221,ketchup,30,0,train,ketchup_s30_seed0,3,1,56
trace_ketchup_s33_w0_10_s20d_clean_seed0_job330224,ketchup,33,0,train,ketchup_s33_seed0,5,1,107
trace_ketchup_s34_w0_10_s20d_clean_seed0_job330225,ketchup,34,0,train,ketchup_s34_seed0,2,1,74
trace_ketchup_s35_w0_10_s20d_clean_seed0_job330226,ketchup,35,0,train,ketchup_s35_seed0,3,1,55
trace_ketchup_s36_w0_10_s20d_clean_seed0_job330227,ketchup,36,0,train,ketchup_s36_seed0,4,1,46
trace_ketchup_s38_w0_10_s20d_clean_seed0_job330229,ketchup,38,0,val,ketchup_s38_seed0,5,1,51
trace_ketchup_s41_w0_10_s20d_clean_seed0_job330232,ketchup,41,0,val,ketchup_s41_seed0,3,1,51
trace_ketchup_s43_w0_10_s20d_clean_seed0_job330234,ketchup,43,0,val,ketchup_s43_seed0,3,1,52
trace_ketchup_s45_w0_10_s20d_clean_seed0_job330236,ketchup,45,0,test,ketchup_s45_seed0,3,1,42
trace_ketchup_s47_w0_10_s20d_clean_seed0_job330238,ketchup,47,0,test,ketchup_s47_seed0,6,1,58
trace_ketchup_s48_w0_10_s20d_clean_seed0_job330239,ketchup,48,0,test,ketchup_s48_seed0,4,1,46
trace_ketchup_s49_w0_10_s20d_clean_seed0_job330240,ketchup,49,0,test,ketchup_s49_seed0,4,1,57
trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1,0,train,milk_s1_seed0,6,1,50
trace_milk_s25_w0_10_s20d_clean_seed0_job330256,milk,25,0,train,milk_s25_seed0,2,1,48
trace_milk_s31_w0_10_s20d_clean_seed0_job330262,milk,31,0,train,milk_s31_seed0,2,1,40
trace_milk_s37_w0_10_s20d_clean_seed0_job330268,milk,37,0,train,milk_s37_seed0,2,1,53
trace_milk_s39_w0_10_s20d_clean_seed0_job330270,milk,39,0,val,milk_s39_seed0,4,1,51
trace_milk_s45_w0_10_s20d_clean_seed0_job330276,milk,45,0,test,milk_s45_seed0,2,1,52
trace_orange_juice_s11_w0_10_s20d_clean_seed0_job330282,orange_juice,11,0,train,orange_juice_s11_seed0,3,1,96
trace_orange_juice_s13_w0_10_s20d_clean_seed0_job330284,orange_juice,13,0,train,orange_juice_s13_seed0,2,1,58
trace_orange_juice_s15_w0_10_s20d_clean_seed0_job330286,orange_juice,15,0,train,orange_juice_s15_seed0,4,1,40
trace_orange_juice_s22_w0_10_s20d_clean_seed0_job330293,orange_juice,22,0,train,orange_juice_s22_seed0,9,1,129
trace_orange_juice_s32_w0_10_s20d_clean_seed0_job330303,orange_juice,32,0,train,orange_juice_s32_seed0,2,1,142
trace_orange_juice_s37_w0_10_s20d_clean_seed0_job330308,orange_juice,37,0,val,orange_juice_s37_seed0,15,1,134
trace_orange_juice_s40_w0_10_s20d_clean_seed0_job330311,orange_juice,40,0,val,orange_juice_s40_seed0,7,1,61
trace_orange_juice_s43_w0_10_s20d_clean_seed0_job330314,orange_juice,43,0,test,orange_juice_s43_seed0,3,1,66
trace_salad_dressing_s2_w0_10_s20d_clean_seed0_job250014,salad_dressing,2,0,train,salad_dressing_s2_seed0,2,1,40
trace_salad_dressing_s11_w0_10_s20d_clean_seed0_job330322,salad_dressing,11,0,train,salad_dressing_s11_seed0,3,1,59
trace_salad_dressing_s12_w0_10_s20d_clean_seed0_job330323,salad_dressing,12,0,train,salad_dressing_s12_seed0,3,1,61
trace_salad_dressing_s16_w0_10_s20d_clean_seed0_job330327,salad_dressing,16,0,train,salad_dressing_s16_seed0,2,1,50
trace_salad_dressing_s17_w0_10_s20d_clean_seed0_job330328,salad_dressing,17,0,train,salad_dressing_s17_seed0,2,1,49
trace_salad_dressing_s29_w0_10_s20d_clean_seed0_job330340,salad_dressing,29,0,train,salad_dressing_s29_seed0,2,1,57
trace_salad_dressing_s30_w0_10_s20d_clean_seed0_job330341,salad_dressing,30,0,train,salad_dressing_s30_seed0,3,1,39
trace_salad_dressing_s31_w0_10_s20d_clean_seed0_job330342,salad_dressing,31,0,val,salad_dressing_s31_seed0,4,1,105
trace_salad_dressing_s38_w0_10_s20d_clean_seed0_job330349,salad_dressing,38,0,test,salad_dressing_s38_seed0,3,1,64
trace_salad_dressing_s40_w0_10_s20d_clean_seed0_job330351,salad_dressing,40,0,test,salad_dressing_s40_seed0,3,1,50
trace_tomato_sauce_s2_w0_10_s20d_clean_seed0_job250011,tomato_sauce,2,0,train,tomato_sauce_s2_seed0,2,1,97
trace_tomato_sauce_s10_w0_10_s20d_clean_seed0_job330361,tomato_sauce,10,0,train,tomato_sauce_s10_seed0,3,1,54
trace_tomato_sauce_s11_w0_10_s20d_clean_seed0_job330362,tomato_sauce,11,0,train,tomato_sauce_s11_seed0,2,1,56
trace_tomato_sauce_s12_w0_10_s20d_clean_seed0_job330363,tomato_sauce,12,0,train,tomato_sauce_s12_seed0,9,1,68
trace_tomato_sauce_s13_w0_10_s20d_clean_seed0_job330364,tomato_sauce,13,0,train,tomato_sauce_s13_seed0,4,1,70
trace_tomato_sauce_s15_w0_10_s20d_clean_seed0_job330366,tomato_sauce,15,0,train,tomato_sauce_s15_seed0,27,1,169
trace_tomato_sauce_s18_w0_10_s20d_clean_seed0_job330369,tomato_sauce,18,0,train,tomato_sauce_s18_seed0,9,1,70
trace_tomato_sauce_s19_w0_10_s20d_clean_seed0_job330370,tomato_sauce,19,0,train,tomato_sauce_s19_seed0,3,1,54
trace_tomato_sauce_s23_w0_10_s20d_clean_seed0_job330374,tomato_sauce,23,0,train,tomato_sauce_s23_seed0,2,1,141
trace_tomato_sauce_s24_w0_10_s20d_clean_seed0_job330375,tomato_sauce,24,0,train,tomato_sauce_s24_seed0,35,1,234
trace_tomato_sauce_s35_w0_10_s20d_clean_seed0_job330386,tomato_sauce,35,0,train,tomato_sauce_s35_seed0,2,1,60
trace_tomato_sauce_s36_w0_10_s20d_clean_seed0_job330387,tomato_sauce,36,0,train,tomato_sauce_s36_seed0,7,1,67
trace_tomato_sauce_s39_w0_10_s20d_clean_seed0_job330390,tomato_sauce,39,0,val,tomato_sauce_s39_seed0,7,1,158
trace_tomato_sauce_s40_w0_10_s20d_clean_seed0_job330391,tomato_sauce,40,0,val,tomato_sauce_s40_seed0,8,1,64
trace_tomato_sauce_s41_w0_10_s20d_clean_seed0_job330392,tomato_sauce,41,0,test,tomato_sauce_s41_seed0,2,1,64
trace_tomato_sauce_s42_w0_10_s20d_clean_seed0_job330393,tomato_sauce,42,0,test,tomato_sauce_s42_seed0,2,1,59
