condition,protocol_field,artifact_value,config_value,manifest_value,launch_value,log_value,code_default_value,resolved_value,resolution_status,source_path,source_sha256,artifact_time_compatible,notes,value_source_path,value_source_sha256,binding_source_path,binding_source_sha256,binding_status,negative_search_roots,negative_search_terms,negative_search_files_examined,negative_search_hits,conflicting_sources
CLEAN,fallback,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,arm_gate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,arm_preservation_metric,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,attack_config_version,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,launch_command,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,aggregation_script,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,validator,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,runtime_source_file,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,runtime_git_commit,ace1876281a9ad6ed68e1229a6e17346356766e9,UNKNOWN,ace1876281a9ad6ed68e1229a6e17346356766e9,UNKNOWN,UNKNOWN,UNKNOWN,ace1876281a9ad6ed68e1229a6e17346356766e9,RECOVERED,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,PARTIAL,targeted artifact/config/manifest/log/git search completed,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,FORMAL_ARTIFACT_BOUND,,,,,
CLEAN,dirty_file_SHA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,condition_manifest,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,checkpoint_path,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,checkpoint_SHA,episode_summary checkpoint_sha256,UNKNOWN,episode_summary checkpoint_sha256,UNKNOWN,UNKNOWN,UNKNOWN,episode_summary checkpoint_sha256,RECOVERED,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,PARTIAL,targeted artifact/config/manifest/log/git search completed,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,FORMAL_ARTIFACT_BOUND,,,,,
CLEAN,dataset_path,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
CLEAN,dataset_SHA,episode_summary dataset_sha256,UNKNOWN,episode_summary dataset_sha256,UNKNOWN,UNKNOWN,UNKNOWN,episode_summary dataset_sha256,RECOVERED,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,PARTIAL,targeted artifact/config/manifest/log/git search completed,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,FORMAL_ARTIFACT_BOUND,,,,,
RAND_T10,preprocessing_backend,upstream_tf_jpeg,UNKNOWN,upstream_tf_jpeg,UNKNOWN,UNKNOWN,UNKNOWN,upstream_tf_jpeg,RECOVERED,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,PARTIAL,targeted artifact/config/manifest/log/git search completed,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,FORMAL_ARTIFACT_BOUND,,,,,
RAND_T10,jpeg_roundtrip,true,UNKNOWN,true,UNKNOWN,UNKNOWN,UNKNOWN,true,RECOVERED,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,PARTIAL,targeted artifact/config/manifest/log/git search completed,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,FORMAL_ARTIFACT_BOUND,,,,,
RAND_T10,epsilon,UNKNOWN,UNKNOWN,0.023529411764705882,UNKNOWN,UNKNOWN,UNKNOWN,0.023529411764705882,CANDIDATE_PROTOCOL_VALUE_UNBOUND,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,PARTIAL,candidate value from object_breadth_120 manifest; formal Object artifact binding not proven,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,UNKNOWN,UNKNOWN,CANDIDATE_VALUE_NOT_FORMALLY_BOUND,,,,,
RAND_T10,epsilon_space,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
RAND_T10,pgd_steps,UNKNOWN,UNKNOWN,20,UNKNOWN,UNKNOWN,UNKNOWN,20,CANDIDATE_PROTOCOL_VALUE_UNBOUND,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,PARTIAL,candidate value from object_breadth_120 manifest; formal Object artifact binding not proven,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,UNKNOWN,UNKNOWN,CANDIDATE_VALUE_NOT_FORMALLY_BOUND,,,,,
RAND_T10,step_size,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
RAND_T10,K,UNKNOWN,UNKNOWN,10,UNKNOWN,UNKNOWN,UNKNOWN,10,CANDIDATE_PROTOCOL_VALUE_UNBOUND,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,PARTIAL,candidate value from object_breadth_120 manifest; formal Object artifact binding not proven,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,UNKNOWN,UNKNOWN,CANDIDATE_VALUE_NOT_FORMALLY_BOUND,,,,,
RAND_T10,target_token,UNKNOWN,UNKNOWN,31744,UNKNOWN,UNKNOWN,UNKNOWN,31744,CANDIDATE_PROTOCOL_VALUE_UNBOUND,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,PARTIAL,candidate value from object_breadth_120 manifest; formal Object artifact binding not proven,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,UNKNOWN,UNKNOWN,CANDIDATE_VALUE_NOT_FORMALLY_BOUND,,,,,
RAND_T10,objective,UNKNOWN,UNKNOWN,random_linf_control,UNKNOWN,UNKNOWN,UNKNOWN,random_linf_control,CANDIDATE_PROTOCOL_VALUE_UNBOUND,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,PARTIAL,candidate value from object_breadth_120 manifest; formal Object artifact binding not proven,/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,UNKNOWN,UNKNOWN,CANDIDATE_VALUE_NOT_FORMALLY_BOUND,,,,,
RAND_T10,route,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
RAND_T10,fallback,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
RAND_T10,arm_gate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRECOVERABLE_AFTER_TARGETED_SEARCH,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,negative targeted search completed; no recovered value source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed
