field_name,source_file,source_sha256,line_start,line_end,initial_value,update_condition,serialized_value,semantic_status,notes
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,429,433,UNKNOWN,"429: \n430: with open(os.path.join(OUT, ""TABLE1_SOTA_PANEL_A.csv""), ""w"", newline="""") as f:\n431:     w = csv.DictWriter(f, fieldnames=[""condition"", ""n"", ""success_rate"", ""total_attack_frames""])\n432:     w.writeheader(); w.writerows(rows)\n433: ",UNKNOWN,FIELD_MUTATION,"    w = csv.DictWriter(f, fieldnames=[""condition"", ""n"", ""success_rate"", ""total_attack_frames""])"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,443,447,UNKNOWN,"443: print(f""\nTABLE1_SOTA_V1 saved to {OUT}"")\n444: for r in rows:\n445:     print(f""  {r['condition']}: n={r['n']} SR={r['success_rate']} atk={r['total_attack_frames']}"")\n446: PYEOF\n447: ",UNKNOWN,FIELD_MUTATION,"    print(f""  {r['condition']}: n={r['n']} SR={r['success_rate']} atk={r['total_attack_frames']}"")"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/supervisor_oracle_sota.sh,749a8095449466f1d4b3b84ac0b566a1abc549516fa4cb3f43f0e7f7f6439278,15,19,UNKNOWN,"15: log ""Stage 0: Waiting for Oracle 141/141...""\n16: while true; do\n17:     ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)\n18:     ORACLE_WORKERS=$(ps aux | grep -c 'run_oracle_env_gripper_worker' 2>/dev/null || echo 0)\n19:     ORACLE_FAILED=$(grep -r 'FAILED' $LOGDIR/oracle_full_gpu*.log 2>/dev/null | wc -l) || ORACLE_FAILED=0",episode_summary,FIELD_SERIALIZATION,    ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor_v2.sh,3549d9f44ff138cca9164708071589accc7f679107fa5fc373961682520772d7,41,45,UNKNOWN,41: ORACLE_DIR=$EVID/COMMAND_OPEN_ORACLE_T10/formal_v1\n42: while true; do\n43:     ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)\n44:     ORACLE_WORKERS=$(ps aux | grep -c 'run_oracle_env_gripper_worker' 2>/dev/null || echo 0)\n45: ,episode_summary,FIELD_SERIALIZATION,    ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor_v3.sh,26a61b30dd554acc5073c79af8713521a51979424d20b24cabe92e2376c0f1f0,29,33,UNKNOWN,"29: write_state wait_oracle monitoring\n30: ORACLE_DIR=$EVID/COMMAND_OPEN_ORACLE_T10/formal_v1\n31: ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)\n32: \n33: if [ ""$ORACLE_EP"" -ge 141 ]; then",episode_summary,FIELD_SERIALIZATION,ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor_v3.sh,26a61b30dd554acc5073c79af8713521a51979424d20b24cabe92e2376c0f1f0,36,40,UNKNOWN,"36:     log ""Stage 0: Waiting for Oracle ($ORACLE_EP/141)""\n37:     for i in $(seq 1 60); do\n38:         ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)\n39:         ORACLE_WORKERS=$(ps aux | grep -c 'run_oracle_env_gripper_worker' 2>/dev/null || echo 0)\n40:         log ""Oracle: $ORACLE_EP/141, workers=$ORACLE_WORKERS""",episode_summary,FIELD_SERIALIZATION,        ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor_v3.sh,26a61b30dd554acc5073c79af8713521a51979424d20b24cabe92e2376c0f1f0,286,290,UNKNOWN,"286:     for root, dirs, files in os.walk(path):\n287:         for f in files:\n288:             if f == ""episode_summary.json"":\n289:                 ep = os.path.join(root, f)\n290:                 d = json.load(open(ep))",episode_summary,FIELD_SERIALIZATION,"            if f == ""episode_summary.json"":"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor_v3.sh,26a61b30dd554acc5073c79af8713521a51979424d20b24cabe92e2376c0f1f0,292,296,False,"292:                 data[key] = {""success"": d.get(""task_success"", False),\n293:                              ""n_steps"": d.get(""n_steps"", 0),\n294:                              ""attack_frames"": d.get(""attack_frames"", 0)}\n295:     return data\n296: ",UNKNOWN,FIELD_REFERENCE,"                             ""attack_frames"": d.get(""attack_frames"", 0)}"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor_v3.sh,26a61b30dd554acc5073c79af8713521a51979424d20b24cabe92e2376c0f1f0,299,303,UNKNOWN,"299:     data = collect(os.path.join(EVID, rel_path))\n300:     n = len(data)\n301:     if n == 0: rows.append({""condition"": name, ""n"": 0, ""success_rate"": ""N/A"", ""attack_frames"": 0}); continue\n302:     sr = sum(1 for v in data.values() if v[""success""]) / n\n303:     atk = sum(v[""attack_frames""] for v in data.values())",UNKNOWN,FIELD_MUTATION,"    if n == 0: rows.append({""condition"": name, ""n"": 0, ""success_rate"": ""N/A"", ""attack_frames"": 0}); continue"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor_v3.sh,26a61b30dd554acc5073c79af8713521a51979424d20b24cabe92e2376c0f1f0,301,305,UNKNOWN,"301:     if n == 0: rows.append({""condition"": name, ""n"": 0, ""success_rate"": ""N/A"", ""attack_frames"": 0}); continue\n302:     sr = sum(1 for v in data.values() if v[""success""]) / n\n303:     atk = sum(v[""attack_frames""] for v in data.values())\n304:     rows.append({""condition"": name, ""n"": n, ""success_rate"": round(sr, 4), ""attack_frames"": atk})\n305:     print(f""  {name}: n={n} SR={sr:.3f} atk={atk}"")",UNKNOWN,FIELD_MUTATION,"    atk = sum(v[""attack_frames""] for v in data.values())"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor_v3.sh,26a61b30dd554acc5073c79af8713521a51979424d20b24cabe92e2376c0f1f0,302,306,UNKNOWN,"302:     sr = sum(1 for v in data.values() if v[""success""]) / n\n303:     atk = sum(v[""attack_frames""] for v in data.values())\n304:     rows.append({""condition"": name, ""n"": n, ""success_rate"": round(sr, 4), ""attack_frames"": atk})\n305:     print(f""  {name}: n={n} SR={sr:.3f} atk={atk}"")\n306: ",UNKNOWN,FIELD_REFERENCE,"    rows.append({""condition"": name, ""n"": n, ""success_rate"": round(sr, 4), ""attack_frames"": atk})"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,1,4,UNKNOWN,1: GPU 0: 18 jobs\n2: [SKIP] RANDOM_TIME::vis_formal_f01_s0_d1_p0_CLEAN already has episode_summary.json\n3: [2/18] RANDOM_TIME::vis_formal_f04_s1_d1_p1_CLEAN START\n4: [2/18] RANDOM_TIME::vis_formal_f04_s1_d1_p1_CLEAN COMPLETE (248s),episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f01_s0_d1_p0_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,3,7,UNKNOWN,3: [2/18] RANDOM_TIME::vis_formal_f04_s1_d1_p1_CLEAN START\n4: [2/18] RANDOM_TIME::vis_formal_f04_s1_d1_p1_CLEAN COMPLETE (248s)\n5: [SKIP] RANDOM_TIME::vis_formal_f09_s0_d2_p2_CLEAN already has episode_summary.json\n6: [SKIP] RANDOM_TIME::vis_formal_f03_s3_d2_p1_CLEAN already has episode_summary.json\n7: [5/18] RANDOM_TIME::vis_formal_f08_s0_d3_p2_CLEAN START,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f09_s0_d2_p2_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,4,8,UNKNOWN,4: [2/18] RANDOM_TIME::vis_formal_f04_s1_d1_p1_CLEAN COMPLETE (248s)\n5: [SKIP] RANDOM_TIME::vis_formal_f09_s0_d2_p2_CLEAN already has episode_summary.json\n6: [SKIP] RANDOM_TIME::vis_formal_f03_s3_d2_p1_CLEAN already has episode_summary.json\n7: [5/18] RANDOM_TIME::vis_formal_f08_s0_d3_p2_CLEAN START\n8: [5/18] RANDOM_TIME::vis_formal_f08_s0_d3_p2_CLEAN COMPLETE (206s),episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f03_s3_d2_p1_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,7,11,UNKNOWN,7: [5/18] RANDOM_TIME::vis_formal_f08_s0_d3_p2_CLEAN START\n8: [5/18] RANDOM_TIME::vis_formal_f08_s0_d3_p2_CLEAN COMPLETE (206s)\n9: [SKIP] RANDOM_TIME::vis_formal_f02_s1_d3_p1_CLEAN already has episode_summary.json\n10: [SKIP] RANDOM_TIME::vis_formal_f07_s0_d2_p2_CLEAN already has episode_summary.json\n11: [SKIP] RANDOM_TIME::vis_formal_f02_s0_d1_p1_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f02_s1_d3_p1_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,8,12,UNKNOWN,8: [5/18] RANDOM_TIME::vis_formal_f08_s0_d3_p2_CLEAN COMPLETE (206s)\n9: [SKIP] RANDOM_TIME::vis_formal_f02_s1_d3_p1_CLEAN already has episode_summary.json\n10: [SKIP] RANDOM_TIME::vis_formal_f07_s0_d2_p2_CLEAN already has episode_summary.json\n11: [SKIP] RANDOM_TIME::vis_formal_f02_s0_d1_p1_CLEAN already has episode_summary.json\n12: [SKIP] RANDOM_TIME::vis_formal_f06_s0_d3_p2_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f07_s0_d2_p2_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,9,13,UNKNOWN,9: [SKIP] RANDOM_TIME::vis_formal_f02_s1_d3_p1_CLEAN already has episode_summary.json\n10: [SKIP] RANDOM_TIME::vis_formal_f07_s0_d2_p2_CLEAN already has episode_summary.json\n11: [SKIP] RANDOM_TIME::vis_formal_f02_s0_d1_p1_CLEAN already has episode_summary.json\n12: [SKIP] RANDOM_TIME::vis_formal_f06_s0_d3_p2_CLEAN already has episode_summary.json\n13: [SKIP] RANDOM_TIME::vis_formal_f01_s0_d2_p1_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f02_s0_d1_p1_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,10,14,UNKNOWN,10: [SKIP] RANDOM_TIME::vis_formal_f07_s0_d2_p2_CLEAN already has episode_summary.json\n11: [SKIP] RANDOM_TIME::vis_formal_f02_s0_d1_p1_CLEAN already has episode_summary.json\n12: [SKIP] RANDOM_TIME::vis_formal_f06_s0_d3_p2_CLEAN already has episode_summary.json\n13: [SKIP] RANDOM_TIME::vis_formal_f01_s0_d2_p1_CLEAN already has episode_summary.json\n14: [SKIP] RANDOM_TIME::vis_formal_f04_s1_d2_p2_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f06_s0_d3_p2_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,11,15,UNKNOWN,11: [SKIP] RANDOM_TIME::vis_formal_f02_s0_d1_p1_CLEAN already has episode_summary.json\n12: [SKIP] RANDOM_TIME::vis_formal_f06_s0_d3_p2_CLEAN already has episode_summary.json\n13: [SKIP] RANDOM_TIME::vis_formal_f01_s0_d2_p1_CLEAN already has episode_summary.json\n14: [SKIP] RANDOM_TIME::vis_formal_f04_s1_d2_p2_CLEAN already has episode_summary.json\n15: [SKIP] RANDOM_TIME::vis_formal_f09_s1_d1_p0_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f01_s0_d2_p1_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,12,16,UNKNOWN,12: [SKIP] RANDOM_TIME::vis_formal_f06_s0_d3_p2_CLEAN already has episode_summary.json\n13: [SKIP] RANDOM_TIME::vis_formal_f01_s0_d2_p1_CLEAN already has episode_summary.json\n14: [SKIP] RANDOM_TIME::vis_formal_f04_s1_d2_p2_CLEAN already has episode_summary.json\n15: [SKIP] RANDOM_TIME::vis_formal_f09_s1_d1_p0_CLEAN already has episode_summary.json\n16: [SKIP] RANDOM_TIME::vis_formal_f03_s3_d3_p2_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f04_s1_d2_p2_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,13,17,UNKNOWN,13: [SKIP] RANDOM_TIME::vis_formal_f01_s0_d2_p1_CLEAN already has episode_summary.json\n14: [SKIP] RANDOM_TIME::vis_formal_f04_s1_d2_p2_CLEAN already has episode_summary.json\n15: [SKIP] RANDOM_TIME::vis_formal_f09_s1_d1_p0_CLEAN already has episode_summary.json\n16: [SKIP] RANDOM_TIME::vis_formal_f03_s3_d3_p2_CLEAN already has episode_summary.json\n17: [14/18] RANDOM_TIME::vis_formal_f08_s2_d2_p0_CLEAN START,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f09_s1_d1_p0_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,14,18,UNKNOWN,14: [SKIP] RANDOM_TIME::vis_formal_f04_s1_d2_p2_CLEAN already has episode_summary.json\n15: [SKIP] RANDOM_TIME::vis_formal_f09_s1_d1_p0_CLEAN already has episode_summary.json\n16: [SKIP] RANDOM_TIME::vis_formal_f03_s3_d3_p2_CLEAN already has episode_summary.json\n17: [14/18] RANDOM_TIME::vis_formal_f08_s2_d2_p0_CLEAN START\n18: [14/18] RANDOM_TIME::vis_formal_f08_s2_d2_p0_CLEAN COMPLETE (225s),episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f03_s3_d3_p2_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,17,21,UNKNOWN,17: [14/18] RANDOM_TIME::vis_formal_f08_s2_d2_p0_CLEAN START\n18: [14/18] RANDOM_TIME::vis_formal_f08_s2_d2_p0_CLEAN COMPLETE (225s)\n19: [SKIP] RANDOM_TIME::vis_formal_f03_s3_d1_p1_CLEAN already has episode_summary.json\n20: [SKIP] RANDOM_TIME::vis_formal_f08_s0_d2_p2_CLEAN already has episode_summary.json\n21: [SKIP] RANDOM_TIME::vis_formal_f03_s1_d2_p0_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f03_s3_d1_p1_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,18,22,UNKNOWN,18: [14/18] RANDOM_TIME::vis_formal_f08_s2_d2_p0_CLEAN COMPLETE (225s)\n19: [SKIP] RANDOM_TIME::vis_formal_f03_s3_d1_p1_CLEAN already has episode_summary.json\n20: [SKIP] RANDOM_TIME::vis_formal_f08_s0_d2_p2_CLEAN already has episode_summary.json\n21: [SKIP] RANDOM_TIME::vis_formal_f03_s1_d2_p0_CLEAN already has episode_summary.json\n22: [SKIP] RANDOM_TIME::vis_formal_f07_s1_d1_p1_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f08_s0_d2_p2_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,19,23,UNKNOWN,"19: [SKIP] RANDOM_TIME::vis_formal_f03_s3_d1_p1_CLEAN already has episode_summary.json\n20: [SKIP] RANDOM_TIME::vis_formal_f08_s0_d2_p2_CLEAN already has episode_summary.json\n21: [SKIP] RANDOM_TIME::vis_formal_f03_s1_d2_p0_CLEAN already has episode_summary.json\n22: [SKIP] RANDOM_TIME::vis_formal_f07_s1_d1_p1_CLEAN already has episode_summary.json\n23: GPU 0 DONE: 18 jobs in 678s, 0 FAILED",episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f03_s1_d2_p0_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu0.log,90b0ef89aee0f6be4b16dc7412d6428504524dc80e6984eee50f17b9bbec17e3,20,23,UNKNOWN,"20: [SKIP] RANDOM_TIME::vis_formal_f08_s0_d2_p2_CLEAN already has episode_summary.json\n21: [SKIP] RANDOM_TIME::vis_formal_f03_s1_d2_p0_CLEAN already has episode_summary.json\n22: [SKIP] RANDOM_TIME::vis_formal_f07_s1_d1_p1_CLEAN already has episode_summary.json\n23: GPU 0 DONE: 18 jobs in 678s, 0 FAILED",episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f07_s1_d1_p1_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu1.log,e801964127cf0d19a264ae7988d60d4d56a593ef4cd9db9b223d587b92905cd3,1,4,UNKNOWN,1: GPU 1: 18 jobs\n2: [SKIP] RANDOM_TIME::vis_formal_f01_s0_d3_p2_CLEAN already has episode_summary.json\n3: [SKIP] RANDOM_TIME::vis_formal_f05_s4_d1_p0_CLEAN already has episode_summary.json\n4: [SKIP] RANDOM_TIME::vis_formal_f09_s1_d2_p1_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f01_s0_d3_p2_CLEAN already has episode_summary.json
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/logs/oracle_final_gpu1.log,e801964127cf0d19a264ae7988d60d4d56a593ef4cd9db9b223d587b92905cd3,1,5,UNKNOWN,1: GPU 1: 18 jobs\n2: [SKIP] RANDOM_TIME::vis_formal_f01_s0_d3_p2_CLEAN already has episode_summary.json\n3: [SKIP] RANDOM_TIME::vis_formal_f05_s4_d1_p0_CLEAN already has episode_summary.json\n4: [SKIP] RANDOM_TIME::vis_formal_f09_s1_d2_p1_CLEAN already has episode_summary.json\n5: [SKIP] RANDOM_TIME::vis_formal_f04_s0_d2_p0_CLEAN already has episode_summary.json,episode_summary,FIELD_SERIALIZATION,[SKIP] RANDOM_TIME::vis_formal_f05_s4_d1_p0_CLEAN already has episode_summary.json
