experiment_id,phase,table_id,cell_id,population_id,suite,mechanism_type,expected_parent_n,condition,training_seed_n,attack_seed_n,eval_seed_n,expected_branch_n,primary_contrast,manual_audit_required,artifact_manifest_path,authorization_scope,abort_rule,rollout_authorized
P2_OBJECT_LOTO_ELIGIBLE,P2,Table2,T2_OBJECT_LOTO_ELIGIBLE,DETECTOR_ELIGIBLE,Object,gripper_transfer,TBD_AFTER_GATE_B,DETECTOR_EVAL_OBJECT_LOTO,30,0,0,0,N/A,false,TBD,detector_cpu_only,gate_c_fail,false
P3_SMOKE_CLEAN_REPLAY,P3,Table3,T3_SMOKE_CLEAN_REPLAY,PRIMARY_ATTACK,ALL,gripper_transfer,8,CLEAN_REPLAY,0,0,1,8,N/A,true,TBD,engineering_smoke_only,telemetry_or_hash_mismatch,false
P3_SMOKE_OURS,P3,Table3,T3_SMOKE_OURS,PRIMARY_ATTACK,ALL,gripper_transfer,8,Ours,0,1,1,8,N/A,true,TBD,engineering_smoke_only,telemetry_or_hash_mismatch,false
P3_SMOKE_RAND_DIRECTION,P3,Table3,T3_SMOKE_RAND_DIRECTION,PRIMARY_ATTACK,ALL,gripper_transfer,8,RAND_DIRECTION,0,1,1,8,N/A,true,TBD,engineering_smoke_only,telemetry_or_hash_mismatch,false
P3_SMOKE_TMA_OPEN,P3,Table3,T3_SMOKE_TMA_OPEN,PRIMARY_ATTACK,ALL,gripper_transfer,8,Adapted_TMA_OPEN,0,1,1,8,N/A,true,TBD,engineering_smoke_only,telemetry_or_hash_mismatch,false
P3_SMOKE_UNTARGETED,P3,Table3,T3_SMOKE_UNTARGETED,PRIMARY_ATTACK,ALL,gripper_transfer,8,UNTARGETED_PGD,0,1,1,8,N/A,true,TBD,engineering_smoke_only,telemetry_or_hash_mismatch,false
P4_OBJECT_CLEAN,P4,Table1,T1_OBJECT_CLEAN,PRIMARY_ATTACK,Object,gripper_transfer,20,Clean,0,0,1,20,baseline,true,TBD,formal_attack_hold,gate_f_missing,false
P4_OBJECT_OURS,P4,Table1,T1_OBJECT_OURS,PRIMARY_ATTACK,Object,gripper_transfer,20,Ours,0,1,1,20,Ours_vs_controls,true,TBD,formal_attack_hold,gate_f_missing,false
P4_OBJECT_RAND_DIRECTION,P4,Table1,T1_OBJECT_RAND_DIRECTION,PRIMARY_ATTACK,Object,gripper_transfer,20,RAND_DIRECTION,0,1,1,20,Ours_vs_RAND_DIRECTION,true,TBD,formal_attack_hold,gate_f_missing,false
P4_OBJECT_RANDOM_TIME,P4,Table1,T1_OBJECT_RANDOM_TIME,PRIMARY_ATTACK,Object,gripper_transfer,20,RANDOM_TIME,0,1,1,20,Ours_vs_RANDOM_TIME,true,TBD,formal_attack_hold,gate_f_missing,false
P4_OBJECT_TMA_OPEN,P4,Table1,T1_OBJECT_TMA_OPEN,PRIMARY_ATTACK,Object,gripper_transfer,20,Adapted_TMA_OPEN,0,1,1,20,Ours_vs_Adapted_TMA_OPEN,true,TBD,formal_attack_hold,gate_f_missing,false
P4_SPATIAL_CLEAN,P4,Table1,T1_SPATIAL_CLEAN,PRIMARY_ATTACK,Spatial,gripper_transfer,20,Clean,0,0,1,20,baseline,true,TBD,formal_attack_hold,gate_f_missing,false
P4_SPATIAL_OURS,P4,Table1,T1_SPATIAL_OURS,PRIMARY_ATTACK,Spatial,gripper_transfer,20,Ours,0,1,1,20,Ours_vs_controls,true,TBD,formal_attack_hold,gate_f_missing,false
P4_SPATIAL_RAND_DIRECTION,P4,Table1,T1_SPATIAL_RAND_DIRECTION,PRIMARY_ATTACK,Spatial,gripper_transfer,20,RAND_DIRECTION,0,1,1,20,Ours_vs_RAND_DIRECTION,true,TBD,formal_attack_hold,gate_f_missing,false
P4_SPATIAL_RANDOM_TIME,P4,Table1,T1_SPATIAL_RANDOM_TIME,PRIMARY_ATTACK,Spatial,gripper_transfer,20,RANDOM_TIME,0,1,1,20,Ours_vs_RANDOM_TIME,true,TBD,formal_attack_hold,gate_f_missing,false
P4_SPATIAL_TMA_OPEN,P4,Table1,T1_SPATIAL_TMA_OPEN,PRIMARY_ATTACK,Spatial,gripper_transfer,20,Adapted_TMA_OPEN,0,1,1,20,Ours_vs_Adapted_TMA_OPEN,true,TBD,formal_attack_hold,gate_f_missing,false
P4_GOAL_CLEAN,P4,Table1,T1_GOAL_CLEAN,PRIMARY_ATTACK,Goal,gripper_transfer,20,Clean,0,0,1,20,baseline,true,TBD,formal_attack_hold,gate_f_missing,false
P4_GOAL_OURS,P4,Table1,T1_GOAL_OURS,PRIMARY_ATTACK,Goal,gripper_transfer,20,Ours,0,1,1,20,Ours_vs_controls,true,TBD,formal_attack_hold,gate_f_missing,false
P4_GOAL_RAND_DIRECTION,P4,Table1,T1_GOAL_RAND_DIRECTION,PRIMARY_ATTACK,Goal,gripper_transfer,20,RAND_DIRECTION,0,1,1,20,Ours_vs_RAND_DIRECTION,true,TBD,formal_attack_hold,gate_f_missing,false
P4_GOAL_RANDOM_TIME,P4,Table1,T1_GOAL_RANDOM_TIME,PRIMARY_ATTACK,Goal,gripper_transfer,20,RANDOM_TIME,0,1,1,20,Ours_vs_RANDOM_TIME,true,TBD,formal_attack_hold,gate_f_missing,false
P4_GOAL_TMA_OPEN,P4,Table1,T1_GOAL_TMA_OPEN,PRIMARY_ATTACK,Goal,gripper_transfer,20,Adapted_TMA_OPEN,0,1,1,20,Ours_vs_Adapted_TMA_OPEN,true,TBD,formal_attack_hold,gate_f_missing,false
P4_LIBERO10_CLEAN,P4,Table1,T1_LIBERO10_CLEAN,PRIMARY_ATTACK,LIBERO-10,gripper_transfer,20,Clean,0,0,1,20,baseline,true,TBD,formal_attack_hold,gate_f_missing,false
P4_LIBERO10_OURS,P4,Table1,T1_LIBERO10_OURS,PRIMARY_ATTACK,LIBERO-10,gripper_transfer,20,Ours,0,1,1,20,Ours_vs_controls,true,TBD,formal_attack_hold,gate_f_missing,false
P4_LIBERO10_RAND_DIRECTION,P4,Table1,T1_LIBERO10_RAND_DIRECTION,PRIMARY_ATTACK,LIBERO-10,gripper_transfer,20,RAND_DIRECTION,0,1,1,20,Ours_vs_RAND_DIRECTION,true,TBD,formal_attack_hold,gate_f_missing,false
P4_LIBERO10_RANDOM_TIME,P4,Table1,T1_LIBERO10_RANDOM_TIME,PRIMARY_ATTACK,LIBERO-10,gripper_transfer,20,RANDOM_TIME,0,1,1,20,Ours_vs_RANDOM_TIME,true,TBD,formal_attack_hold,gate_f_missing,false
P4_LIBERO10_TMA_OPEN,P4,Table1,T1_LIBERO10_TMA_OPEN,PRIMARY_ATTACK,LIBERO-10,gripper_transfer,20,Adapted_TMA_OPEN,0,1,1,20,Ours_vs_Adapted_TMA_OPEN,true,TBD,formal_attack_hold,gate_f_missing,false
P4_SEED_OURS,P4,Table1,T1_SEED_OURS,PRIMARY_ATTACK,ALL,gripper_transfer,20,Ours,0,2,0,40,seed_robustness,false,TBD,formal_attack_hold,gate_f_missing,false
P4_SEED_RAND_DIRECTION,P4,Table1,T1_SEED_RAND_DIRECTION,PRIMARY_ATTACK,ALL,gripper_transfer,20,RAND_DIRECTION,0,2,0,40,seed_robustness,false,TBD,formal_attack_hold,gate_f_missing,false
P4_SEED_RANDOM_TIME,P4,Table1,T1_SEED_RANDOM_TIME,PRIMARY_ATTACK,ALL,gripper_transfer,20,RANDOM_TIME,0,2,0,40,seed_robustness,false,TBD,formal_attack_hold,gate_f_missing,false
P4_SEED_TMA_OPEN,P4,Table1,T1_SEED_TMA_OPEN,PRIMARY_ATTACK,ALL,gripper_transfer,20,Adapted_TMA_OPEN,0,2,0,40,seed_robustness,false,TBD,formal_attack_hold,gate_f_missing,false
P4_MECH_SHUFFLED_GRADIENT,P4,Table3,T3_SHUFFLED_GRADIENT,PRIMARY_ATTACK,ALL,gripper_transfer,20,SHUFFLED_GRADIENT,0,1,0,20,mechanism_chain,true,TBD,formal_attack_hold,gate_f_missing,false
P4_MECH_UNTARGETED_PGD,P4,Table3,T3_UNTARGETED_PGD,PRIMARY_ATTACK,ALL,gripper_transfer,20,UNTARGETED_PGD,0,1,0,20,mechanism_chain,true,TBD,formal_attack_hold,gate_f_missing,false
P4_MECH_EARLY_SHIFT,P4,Table3,T3_EARLY_SHIFT,PRIMARY_ATTACK,ALL,gripper_transfer,20,EARLY_SHIFT,0,1,0,20,mechanism_chain,true,TBD,formal_attack_hold,gate_f_missing,false
P4_MECH_ARM_TARGETED,P4,Table3,T3_ARM_TARGETED,PRIMARY_ATTACK,ALL,gripper_transfer,20,ARM_TARGETED,0,1,0,20,mechanism_chain,true,TBD,formal_attack_hold,gate_f_missing,false
P4_MECH_COMMAND_OPEN_ORACLE,P4,Table3,T3_COMMAND_OPEN_ORACLE,PRIMARY_ATTACK,ALL,gripper_transfer,20,COMMAND_OPEN_ORACLE,0,0,0,20,mechanism_chain,true,TBD,formal_attack_hold,gate_f_missing,false
P5_CONTACT_QUALITY,P5,Table5,T5_CQ,PRIMARY_ATTACK,ALL,gripper_transfer,80,EVALUATION_ONLY,0,0,0,0,official_sr_vs_cq,true,TBD,evaluation_only,cq_kappa_below_0_80,false
