blinded_video_id,manual_audit_id,label,stable_grasp_maintained,premature_aperture,slip_or_contact_loss,premature_release_or_drop,object_displacement_consistent_with_loss,reviewer_confidence,blinded_note
W-68f7baf3458df644,MA-R1-68f7baf3458df644,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-6a01df582fd149a0,MA-R1-6a01df582fd149a0,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-6e5bf479d9747b07,MA-R1-6e5bf479d9747b07,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-722429b78c38b5f0,MA-R1-722429b78c38b5f0,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-73b772978785da32,MA-R1-73b772978785da32,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-773699248b398d75,MA-R1-773699248b398d75,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-7b508ce4b4203833,MA-R1-7b508ce4b4203833,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-7e271f5ac6b8a5f3,MA-R1-7e271f5ac6b8a5f3,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-80647df0c8a5dbff,MA-R1-80647df0c8a5dbff,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-8291743224c9dba8,MA-R1-8291743224c9dba8,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-86dbcc78b45129a2,MA-R1-86dbcc78b45129a2,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-87723acd300f8c6c,MA-R1-87723acd300f8c6c,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-87c3222b07088570,MA-R1-87c3222b07088570,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-88432b0f4e1382da,MA-R1-88432b0f4e1382da,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-88b21b3d34ebbedc,MA-R1-88b21b3d34ebbedc,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-88e500e3b0dd0e0e,MA-R1-88e500e3b0dd0e0e,OBJECT_DISPLACEMENT,False,False,False,False,True,MEDIUM,"A clearly visible object changes pose/location substantially and comes to rest on the work surface; displacement is visually consistent with loss of support, although prior grasp state is not fully visible."
W-9ccd69c98e4e0b8a,MA-R1-9ccd69c98e4e0b8a,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-9d87283d982ff449,MA-R1-9d87283d982ff449,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-9d913e5d3ee8fcbf,MA-R1-9d913e5d3ee8fcbf,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-9e976748ddd21d28,MA-R1-9e976748ddd21d28,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-9eb8488e4c5711c6,MA-R1-9eb8488e4c5711c6,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-9ffc84094931d9ee,MA-R1-9ffc84094931d9ee,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-a1914bf54fd9b37f,MA-R1-a1914bf54fd9b37f,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-a41d8e223cc3c244,MA-R1-a41d8e223cc3c244,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-a849c618da6a7034,MA-R1-a849c618da6a7034,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-a9bf0982743f037e,MA-R1-a9bf0982743f037e,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-a9e866712c33d7c3,MA-R1-a9e866712c33d7c3,OBJECT_DISPLACEMENT,False,False,False,False,True,MEDIUM,"A clearly visible object changes pose/location substantially and comes to rest on the work surface; displacement is visually consistent with loss of support, although prior grasp state is not fully visible."
W-aa698ea28e4938c2,MA-R1-aa698ea28e4938c2,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-ab9918eeccdefbbf,MA-R1-ab9918eeccdefbbf,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-ac8f3f83a05ed422,MA-R1-ac8f3f83a05ed422,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-adbf7ccc2ead3cc2,MA-R1-adbf7ccc2ead3cc2,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-aed1ba7c88be8d62,MA-R1-aed1ba7c88be8d62,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-b49f0c61ce9a0d99,MA-R1-b49f0c61ce9a0d99,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-b78945ca2fe78d59,MA-R1-b78945ca2fe78d59,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-ba7f158d75d4b743,MA-R1-ba7f158d75d4b743,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-baeecd18c2f56039,MA-R1-baeecd18c2f56039,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-bc13182f5d667aa8,MA-R1-bc13182f5d667aa8,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-c0f52ed6eb5ab611,MA-R1-c0f52ed6eb5ab611,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-c16e71fcd8bc0de3,MA-R1-c16e71fcd8bc0de3,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-c28ab3266ad1917d,MA-R1-c28ab3266ad1917d,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-c376801f59c3cf05,MA-R1-c376801f59c3cf05,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-cbb6b7438be6f502,MA-R1-cbb6b7438be6f502,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-d11e8d254c9b35e6,MA-R1-d11e8d254c9b35e6,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-d1a6e7b66ed6244f,MA-R1-d1a6e7b66ed6244f,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-d2e00b4dfa02a6d0,MA-R1-d2e00b4dfa02a6d0,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-d2f2dfba4cd57451,MA-R1-d2f2dfba4cd57451,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-d4495caeadf15928,MA-R1-d4495caeadf15928,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-d473c382e2a32c51,MA-R1-d473c382e2a32c51,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-d5af8ffc7396ffd2,MA-R1-d5af8ffc7396ffd2,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-d752dd97239cddf8,MA-R1-d752dd97239cddf8,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-d757152379220322,MA-R1-d757152379220322,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-db1d5cb7a9bb0938,MA-R1-db1d5cb7a9bb0938,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-dd6047efc4bdf8c4,MA-R1-dd6047efc4bdf8c4,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-e0e89b87af6cb210,MA-R1-e0e89b87af6cb210,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-e1cb5a82688acd4d,MA-R1-e1cb5a82688acd4d,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-e347af7eb58dda31,MA-R1-e347af7eb58dda31,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-e3b5f2e81502b214,MA-R1-e3b5f2e81502b214,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-e5d1d4b1e860babf,MA-R1-e5d1d4b1e860babf,OBJECT_DISPLACEMENT,False,False,False,False,True,MEDIUM,"A clearly visible object changes pose/location substantially and comes to rest on the work surface; displacement is visually consistent with loss of support, although prior grasp state is not fully visible."
W-e75ab2f7e9076eed,MA-R1-e75ab2f7e9076eed,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-e859eb7dfa6ae6e6,MA-R1-e859eb7dfa6ae6e6,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-e94b3249319c6f62,MA-R1-e94b3249319c6f62,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-e976ebff2d1eed9e,MA-R1-e976ebff2d1eed9e,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-ea0afb1b06809125,MA-R1-ea0afb1b06809125,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-eb1b137520d2bfce,MA-R1-eb1b137520d2bfce,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-ebd6679501cd216c,MA-R1-ebd6679501cd216c,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-ee1d4987b1d4e745,MA-R1-ee1d4987b1d4e745,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-f1930f77cf2a29a9,MA-R1-f1930f77cf2a29a9,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-f201e7e1a7191c68,MA-R1-f201e7e1a7191c68,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-f35f782c35911dba,MA-R1-f35f782c35911dba,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-f6381a9eac6ef5c1,MA-R1-f6381a9eac6ef5c1,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-f72ec29fce89fcbb,MA-R1-f72ec29fce89fcbb,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-f798ae57fb8630b9,MA-R1-f798ae57fb8630b9,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-f9e62c18ff03466b,MA-R1-f9e62c18ff03466b,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-fc14fcf0d154c238,MA-R1-fc14fcf0d154c238,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-ff5b4f35524cc8ca,MA-R1-ff5b4f35524cc8ca,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-fff98aa8b394d779,MA-R1-fff98aa8b394d779,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
