trace_id,task_key,state_id,seed,provenance_pass,field_validity_pass,open_convention_pass,remap_pass,grasp_privilege_valid,teacher_p_available,teacher_p_step,teacher_r_step,n_close_candidates,category,failure_detail
trace_salad_dressing_s2_w0_10_s20d_clean_seed0_job250014,salad_dressing,2,0,True,True,True,True,True,True,40,40,2,ELIGIBLE_MULTI_CANDIDATE,
trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1,0,True,True,True,True,True,True,53,53,9,ELIGIBLE_MULTI_CANDIDATE,
trace_tomato_sauce_s2_w0_10_s20d_clean_seed0_job250011,tomato_sauce,2,0,True,True,True,True,True,True,97,97,2,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1,0,True,True,True,True,True,True,122,62,10,ELIGIBLE_MULTI_CANDIDATE,
trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765,cream_cheese,1,0,True,True,True,True,True,True,54,8,4,ELIGIBLE_MULTI_CANDIDATE,
trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1,0,True,True,True,True,True,True,50,50,6,ELIGIBLE_MULTI_CANDIDATE,
trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117,orange_juice,1,0,True,True,True,True,True,True,45,43,4,ELIGIBLE_MULTI_CANDIDATE,
trace_salad_dressing_s1_w0_10_s20d_clean_seed0_job230476,salad_dressing,1,0,True,True,True,True,True,True,57,57,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_alphabet_soup_s10_w0_10_s20d_clean_seed0_job330001,alphabet_soup,10,0,True,True,True,True,True,False,-1,49,25,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12,0,True,True,True,True,True,True,59,59,9,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13,0,True,True,True,True,True,True,133,57,10,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s14_w0_10_s20d_clean_seed0_job330005,alphabet_soup,14,0,True,True,True,True,True,True,48,48,4,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15,0,True,True,True,True,True,True,115,73,9,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s16_w0_10_s20d_clean_seed0_job330007,alphabet_soup,16,0,True,True,True,True,True,True,60,60,2,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17,0,True,True,True,True,True,True,49,49,13,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s18_w0_10_s20d_clean_seed0_job330009,alphabet_soup,18,0,True,True,True,True,True,True,61,61,7,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s19_w0_10_s20d_clean_seed0_job330010,alphabet_soup,19,0,True,True,True,True,True,True,58,13,2,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s20_w0_10_s20d_clean_seed0_job330011,alphabet_soup,20,0,True,True,True,True,True,True,54,54,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21,0,True,True,True,True,True,True,140,140,12,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013,alphabet_soup,22,0,True,True,True,True,True,True,70,70,4,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s24_w0_10_s20d_clean_seed0_job330015,alphabet_soup,24,0,True,True,True,True,True,True,61,16,5,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s25_w0_10_s20d_clean_seed0_job330016,alphabet_soup,25,0,True,True,True,True,True,True,71,71,2,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27,0,True,True,True,True,True,True,118,54,29,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s29_w0_10_s20d_clean_seed0_job330020,alphabet_soup,29,0,True,True,True,True,True,True,59,59,4,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s30_w0_10_s20d_clean_seed0_job330021,alphabet_soup,30,0,True,True,True,True,True,True,52,52,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_alphabet_soup_s31_w0_10_s20d_clean_seed0_job330022,alphabet_soup,31,0,True,True,True,True,True,False,-1,63,21,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_alphabet_soup_s32_w0_10_s20d_clean_seed0_job330023,alphabet_soup,32,0,True,True,True,True,True,True,237,121,14,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s33_w0_10_s20d_clean_seed0_job330024,alphabet_soup,33,0,True,True,True,True,True,True,52,52,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_alphabet_soup_s34_w0_10_s20d_clean_seed0_job330025,alphabet_soup,34,0,True,True,True,True,True,True,54,54,36,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s35_w0_10_s20d_clean_seed0_job330026,alphabet_soup,35,0,True,True,True,True,True,True,82,82,13,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s36_w0_10_s20d_clean_seed0_job330027,alphabet_soup,36,0,True,True,True,True,True,True,49,49,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_alphabet_soup_s37_w0_10_s20d_clean_seed0_job330028,alphabet_soup,37,0,True,True,True,True,True,True,50,50,2,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s38_w0_10_s20d_clean_seed0_job330029,alphabet_soup,38,0,True,True,True,True,True,True,164,52,15,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s39_w0_10_s20d_clean_seed0_job330030,alphabet_soup,39,0,True,True,True,True,True,True,64,64,3,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s40_w0_10_s20d_clean_seed0_job330031,alphabet_soup,40,0,True,True,True,True,True,True,51,51,7,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s41_w0_10_s20d_clean_seed0_job330032,alphabet_soup,41,0,True,True,True,True,True,True,64,16,2,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s42_w0_10_s20d_clean_seed0_job330033,alphabet_soup,42,0,True,True,True,True,True,True,82,42,6,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s43_w0_10_s20d_clean_seed0_job330034,alphabet_soup,43,0,True,True,True,True,True,True,53,53,6,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s44_w0_10_s20d_clean_seed0_job330035,alphabet_soup,44,0,True,True,True,True,True,True,85,85,7,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s45_w0_10_s20d_clean_seed0_job330036,alphabet_soup,45,0,True,True,True,True,True,True,84,84,6,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s46_w0_10_s20d_clean_seed0_job330037,alphabet_soup,46,0,True,True,True,True,True,False,-1,45,31,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_alphabet_soup_s47_w0_10_s20d_clean_seed0_job330038,alphabet_soup,47,0,True,True,True,True,True,True,53,53,2,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s48_w0_10_s20d_clean_seed0_job330039,alphabet_soup,48,0,True,True,True,True,True,True,60,60,10,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s49_w0_10_s20d_clean_seed0_job330040,alphabet_soup,49,0,True,True,True,True,True,True,104,49,8,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s10_w0_10_s20d_clean_seed0_job330041,bbq_sauce,10,0,True,True,True,True,True,False,-1,54,14,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s11_w0_10_s20d_clean_seed0_job330042,bbq_sauce,11,0,True,True,True,True,True,True,178,175,4,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s12_w0_10_s20d_clean_seed0_job330043,bbq_sauce,12,0,True,True,True,True,True,True,253,66,17,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s13_w0_10_s20d_clean_seed0_job330044,bbq_sauce,13,0,True,True,True,True,True,True,53,53,3,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s14_w0_10_s20d_clean_seed0_job330045,bbq_sauce,14,0,True,True,True,True,True,False,-1,53,2,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s15_w0_10_s20d_clean_seed0_job330046,bbq_sauce,15,0,True,True,True,True,True,False,-1,53,11,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s16_w0_10_s20d_clean_seed0_job330047,bbq_sauce,16,0,True,True,True,True,True,False,-1,9,10,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s17_w0_10_s20d_clean_seed0_job330048,bbq_sauce,17,0,True,True,True,True,True,False,-1,-1,0,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s18_w0_10_s20d_clean_seed0_job330049,bbq_sauce,18,0,True,True,True,True,True,False,-1,54,30,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s19_w0_10_s20d_clean_seed0_job330050,bbq_sauce,19,0,True,True,True,True,True,True,180,81,13,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s20_w0_10_s20d_clean_seed0_job330051,bbq_sauce,20,0,True,True,True,True,True,False,-1,52,12,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s21_w0_10_s20d_clean_seed0_job330052,bbq_sauce,21,0,True,True,True,True,True,False,-1,-1,0,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s22_w0_10_s20d_clean_seed0_job330053,bbq_sauce,22,0,True,True,True,True,True,False,-1,52,5,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s23_w0_10_s20d_clean_seed0_job330054,bbq_sauce,23,0,True,True,True,True,True,False,-1,-1,0,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s24_w0_10_s20d_clean_seed0_job330055,bbq_sauce,24,0,True,True,True,True,True,True,53,53,6,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s25_w0_10_s20d_clean_seed0_job330056,bbq_sauce,25,0,True,True,True,True,True,False,-1,48,17,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s26_w0_10_s20d_clean_seed0_job330057,bbq_sauce,26,0,True,True,True,True,True,False,-1,53,14,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s27_w0_10_s20d_clean_seed0_job330058,bbq_sauce,27,0,True,True,True,True,True,True,61,61,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_bbq_sauce_s28_w0_10_s20d_clean_seed0_job330059,bbq_sauce,28,0,True,True,True,True,True,True,86,41,5,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s29_w0_10_s20d_clean_seed0_job330060,bbq_sauce,29,0,True,True,True,True,True,True,65,65,10,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s30_w0_10_s20d_clean_seed0_job330061,bbq_sauce,30,0,True,True,True,True,True,True,86,39,5,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s31_w0_10_s20d_clean_seed0_job330062,bbq_sauce,31,0,True,True,True,True,True,False,-1,216,4,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s32_w0_10_s20d_clean_seed0_job330063,bbq_sauce,32,0,True,True,True,True,True,True,151,133,6,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s33_w0_10_s20d_clean_seed0_job330064,bbq_sauce,33,0,True,True,True,True,True,True,49,49,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_bbq_sauce_s34_w0_10_s20d_clean_seed0_job330065,bbq_sauce,34,0,True,True,True,True,True,False,-1,76,17,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s35_w0_10_s20d_clean_seed0_job330066,bbq_sauce,35,0,True,True,True,True,True,False,-1,-1,0,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s36_w0_10_s20d_clean_seed0_job330067,bbq_sauce,36,0,True,True,True,True,True,False,-1,50,10,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s37_w0_10_s20d_clean_seed0_job330068,bbq_sauce,37,0,True,True,True,True,True,True,50,50,4,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s38_w0_10_s20d_clean_seed0_job330069,bbq_sauce,38,0,True,True,True,True,True,True,58,58,8,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s39_w0_10_s20d_clean_seed0_job330070,bbq_sauce,39,0,True,True,True,True,True,True,91,44,2,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s40_w0_10_s20d_clean_seed0_job330071,bbq_sauce,40,0,True,True,True,True,True,False,-1,52,12,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s41_w0_10_s20d_clean_seed0_job330072,bbq_sauce,41,0,True,True,True,True,True,False,-1,48,9,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s42_w0_10_s20d_clean_seed0_job330073,bbq_sauce,42,0,True,True,True,True,True,True,49,49,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_bbq_sauce_s43_w0_10_s20d_clean_seed0_job330074,bbq_sauce,43,0,True,True,True,True,True,True,40,40,2,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s44_w0_10_s20d_clean_seed0_job330075,bbq_sauce,44,0,True,True,True,True,True,False,-1,54,9,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s45_w0_10_s20d_clean_seed0_job330076,bbq_sauce,45,0,True,True,True,True,True,True,117,6,9,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s46_w0_10_s20d_clean_seed0_job330077,bbq_sauce,46,0,True,True,True,True,True,True,57,7,2,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s47_w0_10_s20d_clean_seed0_job330078,bbq_sauce,47,0,True,True,True,True,True,False,-1,76,17,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s48_w0_10_s20d_clean_seed0_job330079,bbq_sauce,48,0,True,True,True,True,True,False,-1,41,2,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s49_w0_10_s20d_clean_seed0_job330080,bbq_sauce,49,0,True,True,True,True,True,False,-1,57,26,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s10_w0_10_s20d_clean_seed0_job330081,butter,10,0,True,True,True,True,True,True,60,60,2,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s11_w0_10_s20d_clean_seed0_job330082,butter,11,0,True,True,True,True,True,True,58,58,4,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s12_w0_10_s20d_clean_seed0_job330083,butter,12,0,True,True,True,True,True,False,-1,4,20,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s13_w0_10_s20d_clean_seed0_job330084,butter,13,0,True,True,True,True,True,False,-1,13,6,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s14_w0_10_s20d_clean_seed0_job330085,butter,14,0,True,True,True,True,True,True,61,61,2,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s15_w0_10_s20d_clean_seed0_job330086,butter,15,0,True,True,True,True,True,True,57,10,2,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s16_w0_10_s20d_clean_seed0_job330087,butter,16,0,True,True,True,True,True,False,-1,5,12,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s17_w0_10_s20d_clean_seed0_job330088,butter,17,0,True,True,True,True,True,True,54,9,4,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s18_w0_10_s20d_clean_seed0_job330089,butter,18,0,True,True,True,True,True,False,-1,48,13,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s19_w0_10_s20d_clean_seed0_job330090,butter,19,0,True,True,True,True,True,True,73,10,19,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s20_w0_10_s20d_clean_seed0_job330091,butter,20,0,True,True,True,True,True,True,54,54,6,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s21_w0_10_s20d_clean_seed0_job330092,butter,21,0,True,True,True,True,True,True,66,15,4,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s22_w0_10_s20d_clean_seed0_job330093,butter,22,0,True,True,True,True,True,True,103,48,4,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s23_w0_10_s20d_clean_seed0_job330094,butter,23,0,True,True,True,True,True,True,53,53,4,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s24_w0_10_s20d_clean_seed0_job330095,butter,24,0,True,True,True,True,True,False,-1,4,17,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s25_w0_10_s20d_clean_seed0_job330096,butter,25,0,True,True,True,True,True,True,52,10,6,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s26_w0_10_s20d_clean_seed0_job330097,butter,26,0,True,True,True,True,True,False,-1,12,4,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s27_w0_10_s20d_clean_seed0_job330098,butter,27,0,True,True,True,True,True,True,198,46,23,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s28_w0_10_s20d_clean_seed0_job330099,butter,28,0,True,True,True,True,True,True,65,65,2,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s29_w0_10_s20d_clean_seed0_job330100,butter,29,0,True,True,True,True,True,False,-1,4,24,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s30_w0_10_s20d_clean_seed0_job330101,butter,30,0,True,True,True,True,True,False,-1,49,13,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s31_w0_10_s20d_clean_seed0_job330102,butter,31,0,True,True,True,True,True,True,65,65,2,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s32_w0_10_s20d_clean_seed0_job330103,butter,32,0,True,True,True,True,True,False,-1,1,10,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s33_w0_10_s20d_clean_seed0_job330104,butter,33,0,True,True,True,True,True,True,45,45,5,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s34_w0_10_s20d_clean_seed0_job330105,butter,34,0,True,True,True,True,True,True,53,53,7,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s35_w0_10_s20d_clean_seed0_job330106,butter,35,0,True,True,True,True,True,True,61,61,5,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s36_w0_10_s20d_clean_seed0_job330107,butter,36,0,True,True,True,True,True,True,56,56,10,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s37_w0_10_s20d_clean_seed0_job330108,butter,37,0,True,True,True,True,True,True,64,6,6,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s38_w0_10_s20d_clean_seed0_job330109,butter,38,0,True,True,True,True,True,False,-1,6,3,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s39_w0_10_s20d_clean_seed0_job330110,butter,39,0,True,True,True,True,True,True,68,0,5,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s40_w0_10_s20d_clean_seed0_job330111,butter,40,0,True,True,True,True,True,True,50,50,6,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s41_w0_10_s20d_clean_seed0_job330112,butter,41,0,True,True,True,True,True,True,63,63,2,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s42_w0_10_s20d_clean_seed0_job330113,butter,42,0,True,True,True,True,True,True,122,9,12,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s43_w0_10_s20d_clean_seed0_job330114,butter,43,0,True,True,True,True,True,True,251,8,29,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s44_w0_10_s20d_clean_seed0_job330115,butter,44,0,True,True,True,True,True,False,-1,2,3,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s45_w0_10_s20d_clean_seed0_job330116,butter,45,0,True,True,True,True,True,True,52,52,3,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s46_w0_10_s20d_clean_seed0_job330117,butter,46,0,True,True,True,True,True,True,62,7,4,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s47_w0_10_s20d_clean_seed0_job330118,butter,47,0,True,True,True,True,True,False,-1,5,17,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s48_w0_10_s20d_clean_seed0_job330119,butter,48,0,True,True,True,True,True,True,69,9,5,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s49_w0_10_s20d_clean_seed0_job330120,butter,49,0,True,True,True,True,True,False,-1,51,17,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_chocolate_pudding_s10_w0_10_s20d_clean_seed0_job330121,chocolate_pudding,10,0,True,True,True,True,True,True,62,62,9,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s11_w0_10_s20d_clean_seed0_job330122,chocolate_pudding,11,0,True,True,True,True,True,True,46,44,20,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s12_w0_10_s20d_clean_seed0_job330123,chocolate_pudding,12,0,True,True,True,True,True,True,99,12,18,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s13_w0_10_s20d_clean_seed0_job330124,chocolate_pudding,13,0,True,True,True,True,True,False,-1,5,22,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_chocolate_pudding_s14_w0_10_s20d_clean_seed0_job330125,chocolate_pudding,14,0,True,True,True,True,True,True,53,53,2,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s15_w0_10_s20d_clean_seed0_job330126,chocolate_pudding,15,0,True,True,True,True,True,True,52,52,2,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s17_w0_10_s20d_clean_seed0_job330128,chocolate_pudding,17,0,True,True,True,True,True,True,66,2,7,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s18_w0_10_s20d_clean_seed0_job330129,chocolate_pudding,18,0,True,True,True,True,True,True,44,44,11,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s19_w0_10_s20d_clean_seed0_job330130,chocolate_pudding,19,0,True,True,True,True,True,True,54,54,16,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s20_w0_10_s20d_clean_seed0_job330131,chocolate_pudding,20,0,True,True,True,True,True,True,49,49,11,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s21_w0_10_s20d_clean_seed0_job330132,chocolate_pudding,21,0,True,True,True,True,True,False,-1,9,5,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_chocolate_pudding_s22_w0_10_s20d_clean_seed0_job330133,chocolate_pudding,22,0,True,True,True,True,True,True,90,54,12,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s23_w0_10_s20d_clean_seed0_job330134,chocolate_pudding,23,0,True,True,True,True,True,True,47,47,2,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s24_w0_10_s20d_clean_seed0_job330135,chocolate_pudding,24,0,True,True,True,True,True,True,59,59,7,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s25_w0_10_s20d_clean_seed0_job330136,chocolate_pudding,25,0,True,True,True,True,True,True,55,55,7,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s26_w0_10_s20d_clean_seed0_job330137,chocolate_pudding,26,0,True,True,True,True,True,True,56,56,19,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s27_w0_10_s20d_clean_seed0_job330138,chocolate_pudding,27,0,True,True,True,True,True,True,62,2,23,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s28_w0_10_s20d_clean_seed0_job330139,chocolate_pudding,28,0,True,True,True,True,True,True,56,56,5,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s29_w0_10_s20d_clean_seed0_job330140,chocolate_pudding,29,0,True,True,True,True,True,True,116,47,30,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s30_w0_10_s20d_clean_seed0_job330141,chocolate_pudding,30,0,True,True,True,True,True,True,53,53,11,ELIGIBLE_MULTI_CANDIDATE,
