task,state_id,split,teacher_p_status,n_candidates,candidate_count_match,step_mismatches,score_max_diff,abstain_mismatches,emit_frozen,emit_d5_direct,emit_match,abstained_emission,live_feature_mismatches,live_max_feature_diff,live_n_adapter_cands,live_error,error
butter,45,train,VALID_LABELED,3,True,0,0.0,0,52,52,True,False,0,1.000000000001e-06,3,,
chocolate_pudding,0,val,VALID_LABELED,19,True,0,0.0,0,49,49,True,False,0,2.0000000000000486e-06,19,,
chocolate_pudding,2,val,VALID_LABELED,4,True,0,0.0,0,58,58,True,False,0,1.9999999999998318e-06,4,,
chocolate_pudding,3,train,VALID_LABELED,4,True,0,0.0,0,59,59,True,False,0,2.0000000000000486e-06,4,,
chocolate_pudding,8,train,VALID_TEACHER_P_ABSTAIN,31,True,0,0.0,0,268,268,True,False,0,2.0000000000000486e-06,31,,
chocolate_pudding,10,test,VALID_LABELED,3,True,0,0.0,0,62,62,True,False,0,2.0000000000000486e-06,3,,
chocolate_pudding,11,train,VALID_LABELED,20,True,0,0.0,0,44,44,True,False,0,1.0000000000001327e-06,20,,
chocolate_pudding,22,train,VALID_LABELED,12,True,0,0.0,0,54,54,True,False,0,2.0000000000000215e-06,12,,
chocolate_pudding,23,train,VALID_LABELED,2,True,0,0.0,0,47,47,True,False,0,4.723701477063816e-09,2,,
chocolate_pudding,36,train,VALID_LABELED,26,True,0,0.0,0,53,53,True,False,0,1.000000000001e-06,26,,
chocolate_pudding,37,test,VALID_TEACHER_P_ABSTAIN,25,True,0,0.0,0,16,16,True,False,0,1.9999999999999995e-06,25,,
chocolate_pudding,40,train,VALID_LABELED,6,True,0,0.0,0,54,54,True,False,0,1.000000000001e-06,6,,
chocolate_pudding,47,train,VALID_LABELED,3,True,0,0.0,0,59,59,True,False,0,1.000000000001e-06,3,,
cream_cheese,1,val,VALID_LABELED,8,True,0,0.0,0,56,56,True,False,0,2.0000000000000486e-06,8,,
cream_cheese,2,train,VALID_LABELED,4,True,0,0.0,0,59,59,True,False,0,1.000000000001e-06,4,,
cream_cheese,4,train,VALID_LABELED,7,True,0,0.0,0,52,52,True,False,0,1.000000000001e-06,7,,
cream_cheese,14,train,VALID_TEACHER_P_ABSTAIN,7,True,0,0.0,0,-1,-1,True,False,0,1.9999999999999995e-06,7,,
cream_cheese,20,train,VALID_LABELED,5,True,0,0.0,0,53,53,True,False,0,1.0000000000001327e-06,5,,
cream_cheese,21,train,VALID_LABELED,18,True,0,0.0,0,105,105,True,False,0,2.0000000000002655e-06,18,,
cream_cheese,25,test,VALID_LABELED,9,True,0,0.0,0,58,58,True,False,0,1.99999999999994e-06,9,,
cream_cheese,29,val,VALID_LABELED,20,True,0,0.0,0,59,59,True,False,0,1.0000000000001327e-06,20,,
cream_cheese,34,train,VALID_TEACHER_P_ABSTAIN,9,True,0,0.0,0,20,20,True,False,0,2.0000000000000486e-06,9,,
cream_cheese,42,train,VALID_TEACHER_P_ABSTAIN,2,True,0,0.0,0,48,48,True,False,0,1.000000000001e-06,2,,
cream_cheese,47,train,VALID_LABELED,3,True,0,0.0,0,43,43,True,False,0,1.000000000001e-06,3,,
cream_cheese,49,test,VALID_LABELED,4,True,0,0.0,0,42,42,True,False,0,1.000000000001e-06,4,,
ketchup,2,val,VALID_LABELED,2,True,0,0.0,0,56,56,True,False,0,9.999999999975306e-07,2,,
ketchup,7,train,VALID_LABELED,5,True,0,0.0,0,61,61,True,False,0,2.0000000000000486e-06,5,,
ketchup,9,train,VALID_LABELED,6,True,0,0.0,0,66,66,True,False,0,1.0000000000001327e-06,6,,
ketchup,10,train,VALID_LABELED,6,True,0,0.0,0,-1,-1,True,False,0,2.0000000000000486e-06,6,,
ketchup,18,train,VALID_LABELED,5,True,0,0.0,0,52,52,True,False,0,2.0000000000000486e-06,5,,
ketchup,24,val,VALID_LABELED,14,True,0,0.0,0,62,62,True,False,0,1.000000000001e-06,14,,
ketchup,28,test,VALID_LABELED,1,True,0,0.0,0,61,61,True,False,0,1.7313766479469766e-09,1,,
ketchup,30,test,VALID_LABELED,4,True,0,0.0,0,52,52,True,False,0,1.000000000001e-06,4,,
ketchup,31,train,VALID_LABELED,2,True,0,0.0,0,52,52,True,False,0,4.983949661255819e-09,2,,
ketchup,34,train,VALID_LABELED,2,True,0,0.0,0,-1,-1,True,False,0,1.0000000000001327e-06,2,,
ketchup,37,train,VALID_TEACHER_P_ABSTAIN,28,True,0,0.0,0,3,3,True,False,0,2.0000000000002655e-06,28,,
ketchup,42,train,VALID_LABELED,2,True,0,0.0,0,-1,-1,True,False,0,1.0000000000001327e-06,2,,
milk,2,train,VALID_LABELED,10,True,0,0.0,0,67,67,True,False,0,1.9999999999998318e-06,10,,
milk,7,val,VALID_LABELED,2,True,0,0.0,0,47,47,True,False,0,1.0000000000001327e-06,2,,
milk,9,val,VALID_LABELED,7,True,0,0.0,0,49,49,True,False,0,1.000000000001e-06,7,,
milk,10,train,VALID_TEACHER_P_ABSTAIN,23,True,0,0.0,0,11,11,True,False,0,1.000000000001e-06,23,,
milk,11,train,VALID_LABELED,2,True,0,0.0,0,57,57,True,False,0,1.0000000000001327e-06,2,,
milk,12,test,VALID_LABELED,1,True,0,0.0,0,50,50,True,False,0,1.000000000001e-06,1,,
milk,15,test,VALID_LABELED,2,True,0,0.0,0,39,39,True,False,0,4.317531585696461e-09,2,,
milk,27,train,VALID_LABELED,3,True,0,0.0,0,53,53,True,False,0,1.9999999999998318e-06,3,,
milk,30,train,VALID_LABELED,1,True,0,0.0,0,43,43,True,False,0,1.000000000001e-06,1,,
milk,31,train,VALID_LABELED,2,True,0,0.0,0,40,40,True,False,0,1.0000000000001327e-06,2,,
milk,36,train,VALID_LABELED,1,True,0,0.0,0,51,51,True,False,0,1.9999999999998318e-06,1,,
milk,40,train,VALID_LABELED,1,True,0,0.0,0,47,47,True,False,0,1.9225120544738138e-10,1,,
orange_juice,8,train,VALID_LABELED,1,True,0,0.0,0,42,42,True,False,0,4.500093460083667e-09,1,,
orange_juice,10,train,VALID_TEACHER_P_ABSTAIN,0,True,0,0.0,0,-1,-1,True,False,0,0.0,0,,
orange_juice,13,train,VALID_LABELED,2,True,0,0.0,0,58,58,True,False,0,2.0000000000000486e-06,2,,
orange_juice,16,train,VALID_LABELED,1,True,0,0.0,0,53,53,True,False,0,2.0158195495609466e-09,1,,
orange_juice,25,val,VALID_LABELED,2,True,0,0.0,0,228,228,True,False,0,2.614564895629855e-09,2,,
orange_juice,29,train,VALID_LABELED,1,True,0,0.0,0,62,62,True,False,0,1.000000000001e-06,1,,
orange_juice,30,train,VALID_LABELED,1,True,0,0.0,0,63,63,True,False,0,9.999999999999159e-07,1,,
orange_juice,31,test,VALID_LABELED,3,True,0,0.0,0,39,39,True,False,0,1.0000000000001327e-06,3,,
orange_juice,36,test,VALID_LABELED,1,True,0,0.0,0,53,53,True,False,0,1.4884376525865718e-09,1,,
orange_juice,39,val,VALID_LABELED,1,True,0,0.0,0,43,43,True,False,0,2.0764827728273285e-09,1,,
orange_juice,41,train,VALID_LABELED,3,True,0,0.0,0,57,57,True,False,0,1.000000000001e-06,3,,
orange_juice,49,train,VALID_LABELED,1,True,0,0.0,0,61,61,True,False,0,1.000000000001e-06,1,,
salad_dressing,1,test,VALID_LABELED,2,True,0,0.0,0,54,54,True,False,0,9.999999999999159e-07,2,,
salad_dressing,3,train,VALID_LABELED,1,True,0,0.0,0,58,58,True,False,0,3.0792617797904603e-09,1,,
salad_dressing,11,train,VALID_LABELED,4,True,0,0.0,0,125,125,True,False,0,1.000000000001e-06,4,,
salad_dressing,14,train,VALID_LABELED,1,True,0,0.0,0,63,63,True,False,0,1.000000000001e-06,1,,
salad_dressing,16,train,VALID_LABELED,1,True,0,0.0,0,48,48,True,False,0,9.999999999999159e-07,1,,
salad_dressing,24,val,VALID_LABELED,11,True,0,0.0,0,81,81,True,False,0,1.000000000001e-06,11,,
salad_dressing,26,val,VALID_LABELED,2,True,0,0.0,0,44,44,True,False,0,1.000000000001e-06,2,,
salad_dressing,27,train,VALID_TEACHER_P_ABSTAIN,3,True,0,0.0,0,59,59,True,False,0,1.000000000001e-06,3,,
salad_dressing,29,test,VALID_LABELED,2,True,0,0.0,0,57,57,True,False,0,1.000000000001e-06,2,,
salad_dressing,32,train,VALID_LABELED,2,True,0,0.0,0,62,62,True,False,0,4.4011116027831815e-09,2,,
salad_dressing,45,train,VALID_LABELED,2,True,0,0.0,0,-1,-1,True,False,0,1.0000000000001327e-06,2,,
salad_dressing,48,train,VALID_LABELED,3,True,0,0.0,0,68,68,True,False,0,1.000000000001e-06,3,,
tomato_sauce,2,train,VALID_LABELED,2,True,0,0.0,0,97,97,True,False,0,9.999999999999972e-07,2,,
tomato_sauce,18,train,VALID_LABELED,9,True,0,0.0,0,70,70,True,False,0,1.0000000000001327e-06,9,,
tomato_sauce,19,train,VALID_LABELED,3,True,0,0.0,0,53,53,True,False,0,2.0000000000002655e-06,3,,
tomato_sauce,23,train,VALID_LABELED,2,True,0,0.0,0,69,69,True,False,0,1.99999999999994e-06,2,,
tomato_sauce,24,train,VALID_LABELED,13,True,0,0.0,0,39,39,True,False,0,2.0000000000000486e-06,13,,
tomato_sauce,26,test,VALID_LABELED,2,True,0,0.0,0,56,56,True,False,0,1.000000000001e-06,2,,
tomato_sauce,29,train,VALID_LABELED,7,True,0,0.0,0,44,44,True,False,0,1.000000000001e-06,7,,
tomato_sauce,34,val,VALID_LABELED,7,True,0,0.0,0,186,186,True,False,0,1.000000000001e-06,7,,
tomato_sauce,36,val,VALID_LABELED,7,True,0,0.0,0,65,65,True,False,0,1.0000000000001327e-06,7,,
tomato_sauce,45,test,VALID_TEACHER_P_ABSTAIN,8,True,0,0.0,0,106,106,True,False,0,1.9999999999999944e-06,8,,
tomato_sauce,47,train,VALID_LABELED,1,True,0,0.0,0,75,75,True,False,0,1.5563488006491676e-09,1,,
tomato_sauce,49,train,VALID_LABELED,9,True,0,0.0,0,78,78,True,False,0,1.000000000001e-06,9,,
alphabet_soup,11,,,6,True,0,0.0,0,56,56,True,False,0,1.000000000001e-06,6,,
alphabet_soup,34,,,36,True,0,0.0,0,54,54,True,False,0,1.9999999999999944e-06,36,,
alphabet_soup,7,,,3,True,0,0.0,0,90,90,True,False,0,1.000000000001e-06,3,,
bbq_sauce,2,,,29,True,0,0.0,0,49,49,True,False,0,1.000000000001e-06,29,,
bbq_sauce,31,,,1,True,0,0.0,0,229,229,True,False,0,1.000000000001e-06,1,,
bbq_sauce,36,,,3,True,0,0.0,0,49,49,True,False,0,1.000000000001e-06,3,,
bbq_sauce,48,,,7,True,0,0.0,0,38,38,True,False,0,1.0000000000001327e-06,7,,
butter,31,,,2,True,0,0.0,0,63,63,True,False,0,1.9999999999998318e-06,2,,
butter,49,,,7,True,0,0.0,0,53,53,True,False,0,1.0000000000001327e-06,7,,
butter,9,,,8,True,0,0.0,0,8,8,True,False,0,1.9999999999998318e-06,8,,
chocolate_pudding,15,,,2,True,0,0.0,0,52,52,True,False,0,1.000000000001e-06,2,,
chocolate_pudding,27,,,24,True,0,0.0,0,62,62,True,False,0,1.000000000001e-06,24,,
chocolate_pudding,7,,,12,True,0,0.0,0,49,49,True,False,0,1.0000000000001327e-06,12,,
cream_cheese,12,,,4,True,0,0.0,0,66,66,True,False,0,1.000000000001e-06,4,,
cream_cheese,17,,,4,True,0,0.0,0,62,62,True,False,0,2.0000000000002655e-06,4,,
cream_cheese,30,,,6,True,0,0.0,0,49,49,True,False,0,1.000000000001e-06,6,,
ketchup,16,,,1,True,0,0.0,0,-1,-1,True,False,0,1.0000000000001327e-06,1,,
ketchup,29,,,32,True,0,0.0,0,48,48,True,False,0,2.0000000000002655e-06,32,,
ketchup,8,,,9,True,0,0.0,0,5,5,True,False,0,1.000000000001e-06,9,,
milk,0,,,4,True,0,0.0,0,50,50,True,False,0,2.0000000000002655e-06,4,,
milk,18,,,5,True,0,0.0,0,49,49,True,False,0,1.000000000001e-06,5,,
milk,1,,,1,True,0,0.0,0,47,47,True,False,0,1.000000000001e-06,1,,
milk,23,,,9,True,0,0.0,0,49,49,True,False,0,2.0000000000000486e-06,9,,
orange_juice,15,,,4,True,0,0.0,0,40,40,True,False,0,1.000000000001e-06,4,,
orange_juice,17,,,0,True,0,0.0,0,-1,-1,True,False,0,0.0,0,,
orange_juice,48,,,3,True,0,0.0,0,56,56,True,False,0,1.000000000001e-06,3,,
salad_dressing,12,,,3,True,0,0.0,0,55,55,True,False,0,3.9615058898927056e-09,3,,
salad_dressing,18,,,12,True,0,0.0,0,113,113,True,False,0,1.000000000001e-06,12,,
salad_dressing,19,,,3,True,0,0.0,0,52,52,True,False,0,1.0000000000001327e-06,3,,
salad_dressing,9,,,31,True,0,0.0,0,52,52,True,False,0,2.0000000000002655e-06,31,,
tomato_sauce,16,,,23,True,0,0.0,0,212,212,True,False,0,2.0000000000000486e-06,23,,
tomato_sauce,5,,,9,True,0,0.0,0,64,64,True,False,0,1.000000000001e-06,9,,
tomato_sauce,6,,,4,True,0,0.0,0,126,126,True,False,0,1.0000000000001327e-06,4,,
tomato_sauce,8,,,5,True,0,0.0,0,52,52,True,False,0,1.000000000001e-06,5,,
