check_id,scope,status,severity,evidence,recommended_action
TRACE-bbq_sauce_clean_job99022,trace:trace_bbq_sauce_clean_job99022.csv,PASS,P2,task=bbq_sauce state=2 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-butter_clean_job99001,trace:trace_butter_clean_job99001.csv,BLOCKER,P0,task=butter state=0 steps=0-261 window=1-295 n_window_steps=261 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-butter_clean_job99011,trace:trace_butter_clean_job99011.csv,PASS,P2,task=butter state=1 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-butter_clean_job99021,trace:trace_butter_clean_job99021.csv,PASS,P2,task=butter state=2 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-cream_cheese_clean_job99001,trace:trace_cream_cheese_clean_job99001.csv,BLOCKER,P0,task=cream_cheese state=0 steps=0-147 window=1-295 n_window_steps=147 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-cream_cheese_clean_job99011,trace:trace_cream_cheese_clean_job99011.csv,PASS,P2,task=cream_cheese state=1 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-cream_cheese_clean_job99021,trace:trace_cream_cheese_clean_job99021.csv,PASS,P2,task=cream_cheese state=2 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-ketchup_clean_job99002,trace:trace_ketchup_clean_job99002.csv,BLOCKER,P0,task=ketchup state=0 steps=0-154 window=1-295 n_window_steps=154 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-ketchup_clean_job99012,trace:trace_ketchup_clean_job99012.csv,PASS,P2,task=ketchup state=1 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-ketchup_clean_job99022,trace:trace_ketchup_clean_job99022.csv,PASS,P2,task=ketchup state=2 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-milk_clean_job99002,trace:trace_milk_clean_job99002.csv,PASS,P2,task=milk state=0 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-milk_clean_job99012,trace:trace_milk_clean_job99012.csv,BLOCKER,P0,task=milk state=1 steps=0-162 window=1-295 n_window_steps=162 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-milk_clean_job99022,trace:trace_milk_clean_job99022.csv,BLOCKER,P0,task=milk state=2 steps=0-166 window=1-295 n_window_steps=166 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-orange_juice_clean_job99003,trace:trace_orange_juice_clean_job99003.csv,BLOCKER,P0,task=orange_juice state=0 steps=0-210 window=1-295 n_window_steps=210 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-orange_juice_clean_job99013,trace:trace_orange_juice_clean_job99013.csv,PASS,P2,task=orange_juice state=1 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-orange_juice_clean_job99023,trace:trace_orange_juice_clean_job99023.csv,PASS,P2,task=orange_juice state=2 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-salad_dressing_clean_job99001,trace:trace_salad_dressing_clean_job99001.csv,PASS,P2,task=salad_dressing state=0 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-salad_dressing_clean_job99011,trace:trace_salad_dressing_clean_job99011.csv,BLOCKER,P0,task=salad_dressing state=1 steps=0-114 window=1-295 n_window_steps=114 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-salad_dressing_clean_job99021,trace:trace_salad_dressing_clean_job99021.csv,BLOCKER,P0,task=salad_dressing state=2 steps=0-262 window=1-295 n_window_steps=262 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-tomato_sauce_clean_job99003,trace:trace_tomato_sauce_clean_job99003.csv,BLOCKER,P0,task=tomato_sauce state=0 steps=0-140 window=1-295 n_window_steps=140 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-tomato_sauce_clean_job99013,trace:trace_tomato_sauce_clean_job99013.csv,BLOCKER,P0,task=tomato_sauce state=1 steps=0-129 window=1-295 n_window_steps=129 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-tomato_sauce_clean_job99023,trace:trace_tomato_sauce_clean_job99023.csv,PASS,P2,task=tomato_sauce state=2 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
